crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,winter_B2,winter_B3,winter_B4,winter_B5,winter_B6,winter_B7,winter_B8,winter_B8A,winter_B11,winter_B12,winter_NDVI,winter_GNDVI,winter_NDRE,winter_NDMI,winter_NBR,winter_EVI,winter_blue_ratio,winter_green_ratio,winter_red_ratio,winter_yellow_proxy,winter_valid_pixels_median,winter_valid_pixels_max,winter_fractional_coverage,premonsoon_B2,premonsoon_B3,premonsoon_B4,premonsoon_B5,premonsoon_B6,premonsoon_B7,premonsoon_B8,premonsoon_B8A,premonsoon_B11,premonsoon_B12,premonsoon_NDVI,premonsoon_GNDVI,premonsoon_NDRE,premonsoon_NDMI,premonsoon_NBR,premonsoon_EVI,premonsoon_blue_ratio,premonsoon_green_ratio,premonsoon_red_ratio,premonsoon_yellow_proxy,premonsoon_valid_pixels_median,premonsoon_valid_pixels_max,premonsoon_fractional_coverage,monsoon_B2,monsoon_B3,monsoon_B4,monsoon_B5,monsoon_B6,monsoon_B7,monsoon_B8,monsoon_B8A,monsoon_B11,monsoon_B12,monsoon_NDVI,monsoon_GNDVI,monsoon_NDRE,monsoon_NDMI,monsoon_NBR,monsoon_EVI,monsoon_blue_ratio,monsoon_green_ratio,monsoon_red_ratio,monsoon_yellow_proxy,monsoon_valid_pixels_median,monsoon_valid_pixels_max,monsoon_fractional_coverage,postmonsoon_B2,postmonsoon_B3,postmonsoon_B4,postmonsoon_B5,postmonsoon_B6,postmonsoon_B7,postmonsoon_B8,postmonsoon_B8A,postmonsoon_B11,postmonsoon_B12,postmonsoon_NDVI,postmonsoon_GNDVI,postmonsoon_NDRE,postmonsoon_NDMI,postmonsoon_NBR,postmonsoon_EVI,postmonsoon_blue_ratio,postmonsoon_green_ratio,postmonsoon_red_ratio,postmonsoon_yellow_proxy,postmonsoon_valid_pixels_median,postmonsoon_valid_pixels_max,postmonsoon_fractional_coverage,NDVI_amp,GNDVI_amp,NDRE_amp,NDMI_amp,NBR_amp,EVI_amp,green_ratio_amp,red_ratio_amp,yellow_proxy_amp,stac_year,geometry_mode,buffer_meters,stac_item_count
A1:crown_0002,A1,A1_master.geojson,1,crown_0002,2,Neem,Neem,clean,,,,,77.19700822368193,28.542816876639975,1,0,0,0,0,0,0,0.14813243597745895,0.16004140675067902,0.1577911153435707,0.18049784749746323,0.279723197221756,0.30448290705680847,0.2500431016087532,0.32206234335899353,0.245108500123024,0.18138059973716736,0.22466710209846497,0.21692293882369995,0.2794085144996643,0.009645647602155805,0.16833976656198502,0.20806458592414856,0.31338508427143097,0.34379325807094574,0.3408063054084778,0.6866149306297302,6.0,6,1.0,0.1658667027950287,0.19202732294797897,0.198713481426239,0.2016361728310585,0.32023510336875916,0.3636613041162491,0.3294325917959213,0.38704928755760193,0.29995033144950867,0.216647669672966,0.2623338997364044,0.2687629908323288,0.3316744714975357,0.051279397681355476,0.20697087049484253,0.2694249153137207,0.3014247864484787,0.3447670340538025,0.3510550260543823,0.6985751688480377,6.0,6,1.0,0.19728752970695496,0.2385071963071823,0.22917364537715912,0.23616625368595123,0.34668663144111633,0.3951272666454315,0.3735026717185974,0.4128420650959015,0.31773704290390015,0.2371925264596939,0.27234771847724915,0.26141002774238586,0.29693469405174255,0.08937492966651917,0.2603151500225067,0.3221937417984009,0.3076119124889374,0.35758787393569946,0.3349245488643646,0.692388117313385,6.0,6,1.0,0.15336082130670547,0.16671791672706604,0.17180076241493225,0.175846628844738,0.29373279213905334,0.3293018043041229,0.30364714562892914,0.34967920184135437,0.2564108297228813,0.18312517553567886,0.262760192155838,0.27669021487236023,0.31393246352672577,0.0840461477637291,0.24567759037017822,0.2767622321844101,0.31166140735149384,0.3451613336801529,0.34916651248931885,0.6883385479450226,6.0,6,1.0,0.04768061637878418,0.05976727604866028,0.0522659569978714,0.07972928206436336,0.0919753834605217,0.11412915587425232,0.013794615864753723,0.0161304771900177,0.011960238218307495,2025,fractional_crown,0,16
A1:crown_0005,A1,A1_master.geojson,4,crown_0005,5,Pilkhan,Pilkhan,clean,,,,,77.19668391418416,28.54268926063228,2,1,0,0,0,0,0,0.13706368952989578,0.15218137949705124,0.14097672700881958,0.2193874791264534,0.38129279017448425,0.42550818622112274,0.2825027406215668,0.4429818391799927,0.32128384709358215,0.21803638339042664,0.32441721856594086,0.2902488559484482,0.3373475819826126,-0.06555505469441414,0.12724462896585464,0.30852077901363373,0.3143391013145447,0.35336707532405853,0.33506476879119873,0.6856608986854553,4.0,4,1.0,0.12706851214170456,0.15860403329133987,0.1579272374510765,0.24480533599853516,0.4511013925075531,0.5162928104400635,0.305549681186676,0.5459558665752411,0.37886881828308105,0.2604951858520508,0.3292115032672882,0.31877732276916504,0.38112133741378784,-0.10820429399609566,0.09308746829628944,0.2963007986545563,0.2914954721927643,0.35627904534339905,0.35417234897613525,0.7085045278072357,4.0,4,1.0,0.16185547411441803,0.18806499242782593,0.1733936071395874,0.24430224299430847,0.4013718366622925,0.4739817678928375,0.37680119276046753,0.4978649616241455,0.36578062176704407,0.2517542541027069,0.3879275321960449,0.35284730792045593,0.3395283818244934,0.01116256881505251,0.20373600721359253,0.44998568296432495,0.30932822823524475,0.35936105251312256,0.3313107490539551,0.6906718015670776,4.0,4,1.0,0.13360385224223137,0.15472617000341415,0.14396603405475616,0.21017355471849442,0.3941124975681305,0.4511420577764511,0.3142808526754379,0.47477471828460693,0.3352426439523697,0.2234019935131073,0.3315897434949875,0.29565003514289856,0.38612228631973267,-0.03730612434446812,0.15928078442811966,0.34901727735996246,0.3101508915424347,0.35696616768836975,0.33288292586803436,0.6898490488529205,4.0,4,1.0,0.06351031363010406,0.06259845197200775,0.048774704337120056,0.11936686281114817,0.11064853891730309,0.15368488430976868,0.005993977189064026,0.022861599922180176,0.022843629121780396,2025,fractional_crown,0,16
A1:crown_0010,A1,A1_master.geojson,9,crown_0010,10,Sheesham,Sheesham,clean,,,,,77.19684235857616,28.542698406936356,2,1,0,0,0,0,0,0.16330595314502716,0.18669243901968002,0.1877785623073578,0.20791369676589966,0.34632737934589386,0.38841062784194946,0.2885793447494507,0.4078957289457321,0.29847218096256256,0.2037137895822525,0.20405463874340057,0.21458416432142258,0.32473865151405334,-0.01693582534790039,0.17225004732608795,0.20325317233800888,0.3052247315645218,0.3442203104496002,0.3476884216070175,0.6947752237319946,2.0,2,1.0,0.21723920851945877,0.2562168687582016,0.26207277923822403,0.23567941784858704,0.4183824062347412,0.4738577604293823,0.37650342285633087,0.505441427230835,0.36258549988269806,0.251171812415123,0.18462447822093964,0.19093527644872665,0.3642575442790985,0.03346618078649044,0.21206869184970856,0.22205206751823425,0.29730844497680664,0.34955480694770813,0.35230423510074615,0.7026916146278381,2.0,2,1.0,0.2196809947490692,0.24215693771839142,0.24466511607170105,0.2428000122308731,0.38686010241508484,0.4497736394405365,0.3878827393054962,0.476590096950531,0.34910690784454346,0.24586714804172516,0.21178001165390015,0.21715429425239563,0.3229702413082123,0.05281182378530502,0.22404563426971436,0.2929902970790863,0.3126131296157837,0.3453243374824524,0.3450305163860321,0.6873869299888611,2.0,2,1.0,0.17415834218263626,0.20354677736759186,0.20943540334701538,0.19864991307258606,0.35737474262714386,0.41277289390563965,0.32432007789611816,0.43607696890830994,0.3147726058959961,0.21205487102270126,0.20277241617441177,0.22402501851320267,0.37406444549560547,0.010405367007479072,0.2025597020983696,0.21841929852962494,0.3077833503484726,0.3432062417268753,0.35230879485607147,0.6922166347503662,2.0,2,1.0,0.02715553343296051,0.03308974206447601,0.05109420418739319,0.06974764913320541,0.051795586943626404,0.08973712474107742,0.006348565220832825,0.007278278470039368,0.01530468463897705,2025,fractional_crown,0,16
A1:crown_0013,A1,A1_master.geojson,12,crown_0013,13,Silk cotton,Semal,clean,,,,,77.1968528084812,28.54295000409686,2,1,0,0,0,1,1,0.15807753801345825,0.17362820357084274,0.17799153923988342,0.18383271992206573,0.28464624285697937,0.3129957616329193,0.30985066294670105,0.32375121116638184,0.248099684715271,0.18009059131145477,0.2703283280134201,0.2816033661365509,0.2786906063556671,0.12024176120758057,0.2734905630350113,0.2669125646352768,0.3066328465938568,0.3475707918405533,0.34876567125320435,0.6933671236038208,2.0,2,1.0,0.15400144457817078,0.18738752603530884,0.19278300553560257,0.2061445415019989,0.31493887305259705,0.3463863581418991,0.35816216468811035,0.36749623715877533,0.2855241447687149,0.20591437816619873,0.307304710149765,0.3222295045852661,0.30371131002902985,0.11786225438117981,0.2723246067762375,0.31210584938526154,0.2900596261024475,0.34996484220027924,0.35999593138694763,0.7099403738975525,2.0,2,1.0,0.18177926540374756,0.21057961881160736,0.21230748295783997,0.2317531704902649,0.3536420464515686,0.400471568107605,0.38011282682418823,0.418354332447052,0.3118654489517212,0.22689096629619598,0.3183453679084778,0.3227079212665558,0.3188299536705017,0.123332679271698,0.2881197929382324,0.3752787709236145,0.300824373960495,0.3542396128177643,0.34036266803741455,0.6991755962371826,2.0,2,1.0,0.14646248519420624,0.16846276819705963,0.16401448845863342,0.17871583998203278,0.2929062098264694,0.3272823989391327,0.33583395183086395,0.34585849940776825,0.2558131217956543,0.17989711463451385,0.32226628065109253,0.2981511056423187,0.3036125898361206,0.14375600218772888,0.2962891310453415,0.35862693190574646,0.3096819221973419,0.350869357585907,0.3414459377527237,0.6903180181980133,2.0,2,1.0,0.051937952637672424,0.04110455513000488,0.040139347314834595,0.025893747806549072,0.023964524269104004,0.10836620628833771,0.0066688209772109985,0.01963326334953308,0.019622355699539185,2025,fractional_crown,0,16
A1:crown_0016,A1,A1_master.geojson,15,crown_0016,16,Bottlebrush,Bottlebrush,clean,,,,,77.1973804988312,28.543222019995163,0,0,0,0,0,0,0,0.13736672699451447,0.1567356064915657,0.14567460119724274,0.18830249458551407,0.2373994067311287,0.2528158873319626,0.2824665755033493,0.2598632872104645,0.21805021166801453,0.18387876451015472,0.31736360490322113,0.28277142345905304,0.14935269951820374,0.13098524510860443,0.2247193083167076,0.2997724711894989,0.31228549778461456,0.3570356220006943,0.33068281412124634,0.6877144575119019,4.0,4,1.0,0.12741225585341454,0.1712007373571396,0.16115272790193558,0.21379218995571136,0.2808067053556442,0.2957216650247574,0.3560919910669327,0.3111182749271393,0.2654357999563217,0.2156594768166542,0.3830893933773041,0.37022167444229126,0.1935008391737938,0.1369059905409813,0.24359627068042755,0.36915573477745056,0.28860071301460266,0.3657836765050888,0.35216523706912994,0.7113992869853973,4.0,4,1.0,0.15902291238307953,0.17462079226970673,0.17327502369880676,0.25470998883247375,0.3368811309337616,0.362204909324646,0.39366811513900757,0.37752339243888855,0.31283119320869446,0.2485799789428711,0.4164717495441437,0.4007713794708252,0.19919425249099731,0.1301136314868927,0.2194092869758606,0.48635995388031006,0.31474775075912476,0.3437390625476837,0.33342984318733215,0.6852522492408752,4.0,4,1.0,0.13772692158818245,0.15782755613327026,0.14449039846658707,0.23066415637731552,0.30025674402713776,0.3222758173942566,0.32968248426914215,0.3332410007715225,0.2821476459503174,0.23037032783031464,0.3596609979867935,0.3200928866863251,0.1634569689631462,0.07728755846619606,0.17621061205863953,0.3913278430700302,0.3073294013738632,0.3597125858068466,0.3314639925956726,0.6926705837249756,4.0,4,1.0,0.09910814464092255,0.11799995601177216,0.04984155297279358,0.05961843207478523,0.06738565862178802,0.18658748269081116,0.02204461395740509,0.021482422947883606,0.026147037744522095,2025,fractional_crown,0,16
A1:crown_0025,A1,A1_master.geojson,24,crown_0025,25,Bakain tree,Bakain,clean,,,,,77.19680258059178,28.543463902816494,2,1,0,0,0,0,0,0.14040988683700562,0.1609998270869255,0.15178744494915009,0.17760639637708664,0.22673515230417252,0.24038252979516983,0.33332422375679016,0.2457917332649231,0.20345671474933624,0.1713191345334053,0.37448255717754364,0.34926609694957733,0.1559426560997963,0.22792375087738037,0.31241855025291443,0.36133238673210144,0.3076177388429642,0.3551673889160156,0.3382129818201065,0.6923822164535522,4.0,4,1.0,0.13011711463332176,0.16601954400539398,0.15987499803304672,0.19715197384357452,0.26345209777355194,0.28085002303123474,0.40437212586402893,0.2870335429906845,0.25217609107494354,0.20772575587034225,0.4325864017009735,0.42014074325561523,0.20621471107006073,0.2309103086590767,0.3194352984428406,0.46189290285110474,0.29277247190475464,0.36610665917396545,0.3423005938529968,0.7072275280952454,4.0,4,1.0,0.15833303332328796,0.1832580268383026,0.16999945044517517,0.23359450697898865,0.32181984186172485,0.353560209274292,0.3918655514717102,0.35787999629974365,0.29432621598243713,0.23064106702804565,0.41767120361328125,0.38600391149520874,0.24305039644241333,0.1659306436777115,0.2840745449066162,0.47365787625312805,0.30953532457351685,0.35828179121017456,0.3321828842163086,0.6904646158218384,4.0,4,1.0,0.13729481399059296,0.16177259385585785,0.1501779779791832,0.1985064446926117,0.27595165371894836,0.30088959634304047,0.37429627776145935,0.3098629415035248,0.2517567127943039,0.20398177206516266,0.4062887728214264,0.37470075488090515,0.19021067768335342,0.19662751257419586,0.30144768953323364,0.44378185272216797,0.3050791025161743,0.3604271709918976,0.3329458087682724,0.6949208378791809,4.0,4,1.0,0.05810384452342987,0.0708746463060379,0.08710774034261703,0.0649796649813652,0.035360753536224365,0.11232548952102661,0.010939270257949829,0.010117709636688232,0.016762912273406982,2025,fractional_crown,0,16
A1:crown_0026,A1,A1_master.geojson,25,crown_0026,26,Amaltas,Amaltas,clean,,,,,77.19675940233986,28.543644589850416,2,1,0,1,1,0,1,0.13534623384475708,0.15021993219852448,0.1415489986538887,0.2008705660700798,0.22813020646572113,0.2365390732884407,0.3044203072786331,0.2395433932542801,0.2136356309056282,0.18323656916618347,0.36161307990550995,0.3369911462068558,0.08724899962544441,0.18705228716135025,0.25123772770166397,0.33593086898326874,0.314641997218132,0.35172535479068756,0.33656908571720123,0.6853579878807068,9.0,9,1.0,0.11800625920295715,0.15219590067863464,0.1414758339524269,0.21682142466306686,0.24865732342004776,0.25477875769138336,0.38665561378002167,0.2610590010881424,0.24702584743499756,0.21892135590314865,0.4782702326774597,0.44848160445690155,0.09642203524708748,0.20745649933815002,0.2639409899711609,0.45370708405971527,0.29344113171100616,0.36769191920757294,0.3404903709888458,0.7065588533878326,9.0,9,1.0,0.1468014270067215,0.17516088485717773,0.15671095252037048,0.23149164021015167,0.2751387655735016,0.28806859254837036,0.38613656163215637,0.30438029766082764,0.2776966392993927,0.2367766946554184,0.4685269892215729,0.42421913146972656,0.1350194364786148,0.21871240437030792,0.29314860701560974,0.5001972913742065,0.3066580891609192,0.3658691644668579,0.32593533396720886,0.6933419108390808,9.0,9,1.0,0.13221221417188644,0.14949043095111847,0.14038674533367157,0.19240965694189072,0.2374580278992653,0.24692930281162262,0.34728874266147614,0.24685729295015335,0.21771100908517838,0.18750586360692978,0.40331733226776123,0.3770553767681122,0.10459781810641289,0.22895213961601257,0.2989472895860672,0.43200013041496277,0.3123520463705063,0.35764002799987793,0.3316650390625,0.6876479983329773,9.0,9,1.0,0.11665715277194977,0.11149045825004578,0.047770436853170395,0.04189985245466232,0.04770956188440323,0.1642664223909378,0.015966564416885376,0.014555037021636963,0.021200865507125854,2025,fractional_crown,0,16
A1:crown_0029,A1,A1_master.geojson,28,crown_0029,29,Amaltas,Amaltas,clean,,,,,77.19732126636882,28.543498618461214,2,1,0,1,1,0,1,0.1431978940963745,0.15509036928415298,0.14996513724327087,0.1861383095383644,0.21922507137060165,0.22201814502477646,0.283467561006546,0.22627006471157074,0.1987396851181984,0.16982442140579224,0.3046887218952179,0.2897088974714279,0.09725910797715187,0.19173230230808258,0.2555919885635376,0.2940259128808975,0.31542864441871643,0.3455907106399536,0.3389982134103775,0.6845713555812836,4.0,4,1.0,0.13079844042658806,0.16624347120523453,0.16301944851875305,0.21083471179008484,0.24221422523260117,0.2503480762243271,0.3198734223842621,0.258762463927269,0.2412436082959175,0.2103000432252884,0.3552902638912201,0.3436325490474701,0.10155946016311646,0.14163364470005035,0.20873794704675674,0.3381533622741699,0.2985225021839142,0.35424327850341797,0.34723424911499023,0.7014775276184082,4.0,4,1.0,0.15424838662147522,0.18616613745689392,0.17159751057624817,0.2282290756702423,0.2787690758705139,0.2936857342720032,0.38686004281044006,0.3046368360519409,0.27274659276008606,0.22827234864234924,0.4247078001499176,0.3889153003692627,0.14285238087177277,0.21516886353492737,0.2982645332813263,0.46669086813926697,0.30448639392852783,0.3627278804779053,0.33278578519821167,0.6955136060714722,4.0,4,1.0,0.13596495985984802,0.15546859800815582,0.14461087435483932,0.18212588876485825,0.22063282132148743,0.2346837818622589,0.322503462433815,0.2409156933426857,0.20938178151845932,0.1755804494023323,0.35268621146678925,0.32174167037010193,0.11342728510499,0.21515771001577377,0.28963544964790344,0.37774308025836945,0.3114507496356964,0.3561756908893585,0.3318215310573578,0.6885492503643036,4.0,4,1.0,0.12001907825469971,0.09920640289783478,0.045593272894620895,0.07353521883487701,0.08952658623456955,0.17266495525836945,0.01713716983795166,0.015412718057632446,0.016906172037124634,2025,fractional_crown,0,16
A1:crown_0036,A1,A1_master.geojson,35,crown_0036,36,Shisham,Sheesham,clean,,,,,77.19752098903945,28.542881925229942,2,1,0,0,0,0,0,0.14655451476573944,0.15991058200597763,0.1542573869228363,0.18602382391691208,0.2531891316175461,0.2718077450990677,0.2972894310951233,0.28403347730636597,0.21747425198554993,0.17445699125528336,0.31694158911705017,0.30028238892555237,0.20222161710262299,0.15415143966674805,0.2776670604944229,0.3145073652267456,0.3127267509698868,0.3471002131700516,0.34000323712825775,0.687273234128952,4.0,4,1.0,0.14245323836803436,0.17664455622434616,0.17632051557302475,0.21142367273569107,0.2888479232788086,0.3001957833766937,0.29684048891067505,0.3179103881120682,0.2563893496990204,0.20504165440797806,0.2689073532819748,0.27231860160827637,0.20601490885019302,0.0730905681848526,0.1814090982079506,0.25239992141723633,0.2938985228538513,0.34929147362709045,0.3577559292316437,0.7061015069484711,4.0,4,1.0,0.16710719466209412,0.1970357596874237,0.18341045081615448,0.22826454043388367,0.337798535823822,0.3768313527107239,0.3790121078491211,0.39258015155792236,0.2858545184135437,0.21255838871002197,0.3714768886566162,0.3394053876399994,0.2903698682785034,0.16517698764801025,0.3049597144126892,0.433154821395874,0.3053613305091858,0.3602452576160431,0.33253422379493713,0.6946386098861694,4.0,4,1.0,0.14340607821941376,0.1638815850019455,0.1563354805111885,0.1832880973815918,0.269615113735199,0.2985156625509262,0.3344297409057617,0.30879175662994385,0.22698889672756195,0.17546852678060532,0.3306933790445328,0.3094671815633774,0.21736298501491547,0.1827809363603592,0.30324508249759674,0.3716704547405243,0.30879488587379456,0.35381707549095154,0.33337220549583435,0.6912051439285278,4.0,4,1.0,0.10256953537464142,0.06708678603172302,0.08814825117588043,0.10969036817550659,0.12355061620473862,0.1807548999786377,0.013145044445991516,0.025221705436706543,0.018828272819519043,2025,fractional_crown,0,16
A1:crown_0037,A1,A1_master.geojson,36,crown_0037,37,Neem,Neem,clean,,,,,77.19769915085097,28.542978480445818,1,0,0,0,0,0,0,0.1438625082373619,0.16091342270374298,0.1557612121105194,0.2011970430612564,0.2599533647298813,0.2744273245334625,0.33064885437488556,0.28430451452732086,0.2306322380900383,0.19078855961561203,0.35575227439403534,0.34128497540950775,0.17123233526945114,0.17277149111032486,0.2663622796535492,0.35221555829048157,0.30969658493995667,0.3486005514860153,0.343111515045166,0.6903034150600433,4.0,4,1.0,0.13375737518072128,0.1703743115067482,0.1698291078209877,0.22320307791233063,0.29351845383644104,0.31110361218452454,0.3580704629421234,0.32184500992298126,0.27269454300403595,0.2286309376358986,0.36797237396240234,0.36738115549087524,0.18759573251008987,0.13447219133377075,0.22326446324586868,0.34561602771282196,0.2904684394598007,0.3545602560043335,0.35814836621284485,0.7095316052436829,4.0,4,1.0,0.15412837266921997,0.18662656843662262,0.16737480461597443,0.2437286227941513,0.3317371904850006,0.3647449314594269,0.41613948345184326,0.37660762667655945,0.30047810077667236,0.23903657495975494,0.4358360767364502,0.390188604593277,0.23354142904281616,0.16636498272418976,0.28059327602386475,0.5080409049987793,0.3034374415874481,0.36774736642837524,0.32881519198417664,0.6965625882148743,4.0,4,1.0,0.1377144530415535,0.1585283726453781,0.1533733680844307,0.20718273520469666,0.2892907112836838,0.31018945574760437,0.3722885549068451,0.3219537138938904,0.24729742854833603,0.20282500237226486,0.3973386287689209,0.378669798374176,0.18415513634681702,0.19503305107355118,0.2965376526117325,0.43879979848861694,0.30590440332889557,0.354455903172493,0.33267493546009064,0.6940956115722656,4.0,4,1.0,0.08008380234241486,0.048903629183769226,0.06230909377336502,0.060560859739780426,0.0732731893658638,0.16242487728595734,0.019146814942359924,0.029333174228668213,0.019228190183639526,2025,fractional_crown,0,16
