crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,geometry_mode,y2025_winter_B2,y2025_winter_B3,y2025_winter_B4,y2025_winter_B5,y2025_winter_B6,y2025_winter_B7,y2025_winter_B8,y2025_winter_B8A,y2025_winter_B11,y2025_winter_B12,y2025_winter_NDVI,y2025_winter_GNDVI,y2025_winter_NDRE,y2025_winter_NDMI,y2025_winter_NBR,y2025_winter_EVI,y2025_winter_blue_ratio,y2025_winter_green_ratio,y2025_winter_red_ratio,y2025_winter_yellow_proxy,y2025_winter_valid_pixels_median,y2025_winter_valid_pixels_max,y2025_premonsoon_B2,y2025_premonsoon_B3,y2025_premonsoon_B4,y2025_premonsoon_B5,y2025_premonsoon_B6,y2025_premonsoon_B7,y2025_premonsoon_B8,y2025_premonsoon_B8A,y2025_premonsoon_B11,y2025_premonsoon_B12,y2025_premonsoon_NDVI,y2025_premonsoon_GNDVI,y2025_premonsoon_NDRE,y2025_premonsoon_NDMI,y2025_premonsoon_NBR,y2025_premonsoon_EVI,y2025_premonsoon_blue_ratio,y2025_premonsoon_green_ratio,y2025_premonsoon_red_ratio,y2025_premonsoon_yellow_proxy,y2025_premonsoon_valid_pixels_median,y2025_premonsoon_valid_pixels_max,y2025_monsoon_B2,y2025_monsoon_B3,y2025_monsoon_B4,y2025_monsoon_B5,y2025_monsoon_B6,y2025_monsoon_B7,y2025_monsoon_B8,y2025_monsoon_B8A,y2025_monsoon_B11,y2025_monsoon_B12,y2025_monsoon_NDVI,y2025_monsoon_GNDVI,y2025_monsoon_NDRE,y2025_monsoon_NDMI,y2025_monsoon_NBR,y2025_monsoon_EVI,y2025_monsoon_blue_ratio,y2025_monsoon_green_ratio,y2025_monsoon_red_ratio,y2025_monsoon_yellow_proxy,y2025_monsoon_valid_pixels_median,y2025_monsoon_valid_pixels_max,y2025_postmonsoon_B2,y2025_postmonsoon_B3,y2025_postmonsoon_B4,y2025_postmonsoon_B5,y2025_postmonsoon_B6,y2025_postmonsoon_B7,y2025_postmonsoon_B8,y2025_postmonsoon_B8A,y2025_postmonsoon_B11,y2025_postmonsoon_B12,y2025_postmonsoon_NDVI,y2025_postmonsoon_GNDVI,y2025_postmonsoon_NDRE,y2025_postmonsoon_NDMI,y2025_postmonsoon_NBR,y2025_postmonsoon_EVI,y2025_postmonsoon_blue_ratio,y2025_postmonsoon_green_ratio,y2025_postmonsoon_red_ratio,y2025_postmonsoon_yellow_proxy,y2025_postmonsoon_valid_pixels_median,y2025_postmonsoon_valid_pixels_max,y2025_NDVI_amp,y2025_GNDVI_amp,y2025_NDRE_amp,y2025_NDMI_amp,y2025_NBR_amp,y2025_EVI_amp,y2025_green_ratio_amp,y2025_red_ratio_amp,y2025_yellow_proxy_amp,y2025_stac_year,y2025_buffer_meters,y2025_stac_item_count,y2024_winter_B2,y2024_winter_B3,y2024_winter_B4,y2024_winter_B5,y2024_winter_B6,y2024_winter_B7,y2024_winter_B8,y2024_winter_B8A,y2024_winter_B11,y2024_winter_B12,y2024_winter_NDVI,y2024_winter_GNDVI,y2024_winter_NDRE,y2024_winter_NDMI,y2024_winter_NBR,y2024_winter_EVI,y2024_winter_blue_ratio,y2024_winter_green_ratio,y2024_winter_red_ratio,y2024_winter_yellow_proxy,y2024_winter_valid_pixels_median,y2024_winter_valid_pixels_max,y2024_premonsoon_B2,y2024_premonsoon_B3,y2024_premonsoon_B4,y2024_premonsoon_B5,y2024_premonsoon_B6,y2024_premonsoon_B7,y2024_premonsoon_B8,y2024_premonsoon_B8A,y2024_premonsoon_B11,y2024_premonsoon_B12,y2024_premonsoon_NDVI,y2024_premonsoon_GNDVI,y2024_premonsoon_NDRE,y2024_premonsoon_NDMI,y2024_premonsoon_NBR,y2024_premonsoon_EVI,y2024_premonsoon_blue_ratio,y2024_premonsoon_green_ratio,y2024_premonsoon_red_ratio,y2024_premonsoon_yellow_proxy,y2024_premonsoon_valid_pixels_median,y2024_premonsoon_valid_pixels_max,y2024_monsoon_B2,y2024_monsoon_B3,y2024_monsoon_B4,y2024_monsoon_B5,y2024_monsoon_B6,y2024_monsoon_B7,y2024_monsoon_B8,y2024_monsoon_B8A,y2024_monsoon_B11,y2024_monsoon_B12,y2024_monsoon_NDVI,y2024_monsoon_GNDVI,y2024_monsoon_NDRE,y2024_monsoon_NDMI,y2024_monsoon_NBR,y2024_monsoon_EVI,y2024_monsoon_blue_ratio,y2024_monsoon_green_ratio,y2024_monsoon_red_ratio,y2024_monsoon_yellow_proxy,y2024_monsoon_valid_pixels_median,y2024_monsoon_valid_pixels_max,y2024_postmonsoon_B2,y2024_postmonsoon_B3,y2024_postmonsoon_B4,y2024_postmonsoon_B5,y2024_postmonsoon_B6,y2024_postmonsoon_B7,y2024_postmonsoon_B8,y2024_postmonsoon_B8A,y2024_postmonsoon_B11,y2024_postmonsoon_B12,y2024_postmonsoon_NDVI,y2024_postmonsoon_GNDVI,y2024_postmonsoon_NDRE,y2024_postmonsoon_NDMI,y2024_postmonsoon_NBR,y2024_postmonsoon_EVI,y2024_postmonsoon_blue_ratio,y2024_postmonsoon_green_ratio,y2024_postmonsoon_red_ratio,y2024_postmonsoon_yellow_proxy,y2024_postmonsoon_valid_pixels_median,y2024_postmonsoon_valid_pixels_max,y2024_NDVI_amp,y2024_GNDVI_amp,y2024_NDRE_amp,y2024_NDMI_amp,y2024_NBR_amp,y2024_EVI_amp,y2024_green_ratio_amp,y2024_red_ratio_amp,y2024_yellow_proxy_amp,y2024_stac_year,y2024_buffer_meters,y2024_stac_item_count,s1_n_obs,s1_n_years,s1_vv_db_median,s1_vv_db_mean,s1_vv_db_std,s1_vv_db_amp,s1_monsoon_vv_db_median,s1_postmonsoon_vv_db_median,s1_premonsoon_vv_db_median,s1_winter_vv_db_median,s1_vh_db_median,s1_vh_db_mean,s1_vh_db_std,s1_vh_db_amp,s1_monsoon_vh_db_median,s1_postmonsoon_vh_db_median,s1_premonsoon_vh_db_median,s1_winter_vh_db_median,s1_vh_vv_ratio_median,s1_vh_vv_ratio_mean,s1_vh_vv_ratio_std,s1_vh_vv_ratio_amp,s1_monsoon_vh_vv_ratio_median,s1_postmonsoon_vh_vv_ratio_median,s1_premonsoon_vh_vv_ratio_median,s1_winter_vh_vv_ratio_median,s1_vh_minus_vv_db_median,s1_vh_minus_vv_db_mean,s1_vh_minus_vv_db_std,s1_vh_minus_vv_db_amp,s1_monsoon_vh_minus_vv_db_median,s1_postmonsoon_vh_minus_vv_db_median,s1_premonsoon_vh_minus_vv_db_median,s1_winter_vh_minus_vv_db_median,s1_years,s1_item_count
SV_S1:crown_0001,SV_S1,s1_master_format.geojson,0,crown_0001,1,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17585423028551,28.532057397420136,1,0,1,0,-1,0,0,buffer,0.1381999999284744,0.153899997472763,0.1419000029563903,0.1771499961614608,0.2719499915838241,0.3022499978542328,0.2738499939441681,0.3148499876260757,0.2373999953269958,0.1730999946594238,0.323993980884552,0.2987482845783233,0.2576736211776733,0.0803447291254997,0.2342927753925323,0.2921233028173446,0.3097942322492599,0.3556401580572128,0.334190234541893,0.6902057230472565,21.0,21,0.1180000007152557,0.1501000002026558,0.1418000012636184,0.1929499953985214,0.3011000007390976,0.3248500078916549,0.298349991440773,0.3426000028848648,0.2665999978780746,0.1930499970912933,0.332830473780632,0.3221569508314132,0.2941475957632065,0.0632333364337682,0.2136432453989982,0.3056790679693222,0.2999216765165329,0.3655764013528824,0.3406097888946533,0.7000783383846283,21.0,21,0.1499000042676925,0.1718500033020973,0.1555500030517578,0.2116999998688697,0.3662499934434891,0.414900004863739,0.3764500021934509,0.4368000030517578,0.2792499959468841,0.1859500035643577,0.4092026650905609,0.3665143847465515,0.3542764037847519,0.1490424051880836,0.3392678797245025,0.4708947092294693,0.3147425651550293,0.3600981384515762,0.3247595280408859,0.6852574646472931,21.0,21,0.1280999965965747,0.1484500020742416,0.1356499940156936,0.1758000031113624,0.3103000074625015,0.3440000116825104,0.3409500122070312,0.3648499995470047,0.2500500082969665,0.1699000000953674,0.4265908598899841,0.3760320544242859,0.3373009264469147,0.1518133282661438,0.3334452509880066,0.4387465864419937,0.3092385679483413,0.3618913292884826,0.3290796279907226,0.690761387348175,21.0,21,0.1025968790054321,0.0772837698459625,0.0966027826070785,0.0885799918323755,0.1256246343255043,0.1787714064121246,0.0099362432956695,0.0158502608537673,0.0148208737373352,2025,20.0,16,0.1504499986767768,0.1628499999642372,0.1458000019192695,0.1799499988555908,0.2947999984025955,0.3250000029802322,0.3121500015258789,0.3397499918937683,0.2388999983668327,0.1684999987483024,0.3735169917345047,0.3260574638843536,0.3090072572231293,0.1251988224685192,0.2933333963155746,0.3977271765470505,0.3231424689292907,0.3561483174562454,0.3207359760999679,0.6768575608730316,21.0,21,0.1398999989032745,0.1635499969124794,0.1491999998688697,0.2061999961733818,0.3463499993085861,0.3866000026464462,0.3456000089645386,0.4032000005245209,0.2920999974012375,0.2081500068306923,0.4047547429800033,0.3577927201986313,0.3197081238031387,0.1057553552091121,0.2627096772193908,0.4148796200752258,0.3123945146799087,0.3629834651947021,0.3279735743999481,0.6876055002212524,21.0,21,0.1301499977707862,0.1614499986171722,0.1431999951601028,0.2263000011444091,0.3659499883651733,0.4048499912023544,0.3695999979972839,0.4212999939918518,0.2963999956846237,0.214649997651577,0.4322027415037155,0.3703554570674896,0.3002092838287353,0.1204451322555542,0.2774739116430282,0.4359691888093948,0.3020072281360626,0.3697926551103592,0.3303640335798263,0.6979927718639374,10.5,21,0.1228500045835971,0.1473000049591064,0.133600004017353,0.1772999987006187,0.2988999933004379,0.3300500065088272,0.3229999989271164,0.3467999994754791,0.2502999976277351,0.1752500012516975,0.4246203154325485,0.3906092792749405,0.3277707695960998,0.1350054927170276,0.3024733811616897,0.3943304419517517,0.3059883415699005,0.3633504062891006,0.3289212882518768,0.6940116882324219,21.0,21,0.0586857497692108,0.0645518153905868,0.0275614857673645,0.0292501375079154,0.0397637039422988,0.0416387468576431,0.0136443376541137,0.0096280574798583,0.0211352109909057,2024,20.0,16,113,4,-6.781381607055664,-6.595419748694495,1.1995181965315362,5.545362234115601,-6.458584547042847,-6.543866157531738,-7.209464073181152,-6.841510772705078,-11.58478546142578,-11.807663740309994,1.261769878148413,6.07215690612793,-11.56855010986328,-11.444108963012695,-11.84487533569336,-11.547235488891602,0.310102641582489,0.3276421266846952,0.1148273808336229,0.6656961739063263,0.2887202352285385,0.3277115225791931,0.3080430030822754,0.3403080403804779,-5.084945201873779,-5.087839924128709,1.4334614429364585,8.010506629943848,-5.395288228988648,-4.845083236694336,-5.113886833190918,-4.681278228759766,"2022,2023,2024,2025",113
SV_S1:crown_0002,SV_S1,s1_master_format.geojson,1,crown_0002,2,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17597511725991,28.532061166940764,1,0,1,0,-1,0,0,buffer,0.1383500024676323,0.1544499993324279,0.1425999999046325,0.1764499992132187,0.2704000025987625,0.2999500036239624,0.3215000033378601,0.3135499954223633,0.2373999953269958,0.1730999946594238,0.3631593585014343,0.3265326470136642,0.256290003657341,0.1385152488946914,0.2873335927724838,0.3512145280838012,0.3086758553981781,0.3566871881484985,0.3344157636165619,0.6913241147994995,21.0,21,0.1154000014066696,0.1495499983429908,0.1403499990701675,0.1912500038743019,0.3011000007390976,0.3250000029802322,0.328900009393692,0.3426000028848648,0.2656500041484833,0.1935499981045723,0.4246019870042801,0.396921619772911,0.2941475957632065,0.095744427293539,0.2492877095937729,0.3871561586856842,0.2999146729707718,0.367308109998703,0.336061879992485,0.7000853419303894,21.0,21,0.1489000022411346,0.1723500043153762,0.1550500020384788,0.2128000035881996,0.3658500015735626,0.4143500030040741,0.3924999982118606,0.4348500072956085,0.2791500091552734,0.1857500001788139,0.4307972341775894,0.3869010359048843,0.3527316451072693,0.1743108406662941,0.3545509874820709,0.4917736351490021,0.3139531165361404,0.3611342012882232,0.3228262662887573,0.6860468983650208,21.0,21,0.1285499967634678,0.1487499997019767,0.1351500004529953,0.1752499938011169,0.310149997472763,0.3440000116825104,0.3589999973773956,0.3647000044584274,0.2493499964475631,0.1686000004410743,0.4510692656040191,0.4048556387424469,0.3375447392463684,0.1846570819616317,0.3588598221540451,0.4672841429710388,0.3091693818569183,0.3631324768066406,0.3278103023767471,0.6908305883407593,21.0,21,0.0879099071025848,0.0783229917287826,0.0964416414499282,0.0889126546680927,0.1095721125602722,0.1405591070652008,0.0106209218502044,0.0132356137037277,0.0140384435653686,2025,20.0,16,0.1472499966621399,0.1607000008225441,0.1437000036239624,0.179749995470047,0.2951000034809112,0.3254999965429306,0.3299500048160553,0.3401499986648559,0.2401999980211258,0.1687999963760376,0.3901337087154388,0.3418349921703338,0.3089137375354767,0.1571510508656501,0.3200288414955139,0.4156458377838135,0.3224026262760162,0.3573889881372452,0.320374920964241,0.677597314119339,21.0,21,0.1376499980688095,0.160300001502037,0.1474500000476837,0.208699993789196,0.3453000038862228,0.3863999992609024,0.3721000105142593,0.404449999332428,0.2937500029802322,0.2084000036120414,0.4433654397726059,0.3993426561355591,0.3216539621353149,0.1302135661244392,0.2820400297641754,0.4687158167362213,0.3110922276973724,0.3621665090322494,0.3281015902757644,0.6889077723026276,21.0,21,0.1350999996066093,0.1683000028133392,0.1481000036001205,0.2281499952077865,0.3691000044345855,0.40625,0.3892000019550323,0.422650009393692,0.2977499961853027,0.213649995625019,0.4390905648469925,0.372729942202568,0.3002092838287353,0.1391804777085781,0.2971009910106659,0.4709371328353882,0.2985561192035675,0.3739207237958908,0.3291936963796615,0.7014438807964325,10.5,21,0.1228500008583068,0.147999994456768,0.1337500065565109,0.1775999963283538,0.2988999933004379,0.3300500065088272,0.3567499965429306,0.3467999994754791,0.250399999320507,0.1753499954938888,0.4537969380617142,0.4173864126205444,0.3296245187520981,0.1712605729699134,0.3368978500366211,0.4589207023382187,0.3045201003551483,0.3633948862552643,0.3291020840406418,0.6954798698425293,21.0,21,0.0636632293462753,0.0755514204502105,0.0294152349233627,0.0410470068454742,0.0548578202724456,0.0552912950515747,0.0165317356586456,0.0088187754154205,0.0238465666770935,2024,20.0,16,113,4,-6.034162521362305,-5.864541488411152,1.171889541640932,5.6972270011901855,-5.287112474441528,-5.882486820220947,-6.50809383392334,-6.3315606117248535,-11.111749649047852,-11.125001687919143,1.1250727257731892,4.75675106048584,-11.120032787322998,-11.10973834991455,-11.017717361450195,-11.232006072998049,0.3054792582988739,0.3213354339905545,0.1227092854133575,0.7284010350704193,0.2796199917793274,0.2940169870853424,0.3177617192268371,0.3378748893737793,-5.150182723999023,-5.207212688648595,1.5299333833725013,9.146737575531006,-5.534325122833252,-5.316275596618652,-4.978983879089356,-4.712440013885498,"2022,2023,2024,2025",113
SV_S1:crown_0013,SV_S1,s1_master_format.geojson,12,crown_0013,13,Amaltas,Amaltas,clean,Non-Acacia,Full canopy,completed,,77.17591844461207,28.53202264024065,2,1,0,1,1,0,1,buffer,0.1380999982357025,0.1536500006914138,0.1422500014305114,0.1775750070810318,0.2711749970912933,0.3020749986171722,0.2863999903202057,0.3141999840736389,0.237525001168251,0.1731749922037124,0.3310514390468597,0.3042492270469665,0.2572450041770935,0.1001828238368034,0.253255695104599,0.3112176954746246,0.3100671917200088,0.3545253127813339,0.3341842889785766,0.6899328231811523,20.0,20,0.1165499985218048,0.1498750001192093,0.1409750059247017,0.1946000009775161,0.3017500042915344,0.3250499963760376,0.3070999979972839,0.3432250022888183,0.2685250043869018,0.1942250058054924,0.3653936386108398,0.3483040481805801,0.2927075624465942,0.0733911581337452,0.2265606299042701,0.3404914289712906,0.3002105355262756,0.3664422482252121,0.3387475907802582,0.699789434671402,20.0,20,0.1501749977469444,0.1722000017762184,0.1558500081300735,0.2119750082492828,0.3661249876022339,0.4147500097751617,0.3814499974250793,0.4368000030517578,0.2793750166893005,0.1867250055074691,0.4167231023311615,0.3743896931409836,0.3539377748966217,0.1577919125556945,0.3428592979907989,0.4739952981472015,0.3156740814447403,0.3602318465709686,0.3237116932868957,0.6843259930610657,20.0,20,0.1283749938011169,0.1484250053763389,0.136474996805191,0.1756749972701072,0.3100000023841858,0.3434750139713287,0.3454500138759613,0.3645250052213669,0.2498250007629394,0.1695000082254409,0.4303715229034424,0.3830389976501465,0.3369766622781753,0.1581639945507049,0.3351584374904632,0.4448782205581665,0.30911386013031,0.3620095700025558,0.3293125927448272,0.6908861100673676,20.0,20,0.0993200838565826,0.0787897706031799,0.0966927707195282,0.0847728364169597,0.1162986680865287,0.1627776026725769,0.0119169354438781,0.0150358974933624,0.0154634416103363,2025,20.0,16,0.1505500003695488,0.1628750041127205,0.1464000046253204,0.1810500025749206,0.2959250062704086,0.3265750110149383,0.3092750012874603,0.3439249992370605,0.2403249964118003,0.16907499730587,0.3732863664627075,0.3243500143289566,0.3097387105226517,0.1260872930288314,0.2949248999357223,0.390120580792427,0.3232544660568237,0.3560558706521988,0.3207949101924896,0.6767455339431763,20.0,20,0.1396999955177307,0.1635250002145767,0.1490250006318092,0.2078250050544738,0.3480250090360641,0.3887500017881393,0.3566000163555145,0.4062249958515167,0.2935500144958496,0.2084999978542328,0.417384535074234,0.377813458442688,0.3209730237722397,0.1142864897847175,0.268485814332962,0.4336562007665634,0.3119081258773803,0.3623749911785126,0.3280004858970642,0.6880919337272644,20.0,20,0.1304999999701976,0.1618250012397766,0.1431249976158142,0.227474994957447,0.3686000108718872,0.4065499901771545,0.3766500055789947,0.4230500161647796,0.2987250089645386,0.2155250012874603,0.4340811222791672,0.3708822578191757,0.3012160360813141,0.1242043823003768,0.2817038893699646,0.4504465311765671,0.3030246943235397,0.3701336681842804,0.3300558626651764,0.6969753205776215,10.0,20,0.1227750070393085,0.1472250074148178,0.1338749974966049,0.1781999990344047,0.2987000048160553,0.3296000063419342,0.3264250159263611,0.3461500108242035,0.2502499967813492,0.1753249987959861,0.4242699742317199,0.3858896940946579,0.3273404985666275,0.1383207663893699,0.3051172196865082,0.4043144583702087,0.3057649582624435,0.3625193536281585,0.3296221494674682,0.69423508644104,20.0,20,0.0607947558164596,0.0615396797657012,0.0261244624853134,0.0240342766046524,0.0366314053535461,0.06032595038414,0.0140777975320816,0.0092609524726867,0.0202297866344451,2024,20.0,16,113,4,-6.50120735168457,-6.343299355127115,1.1870346678395252,5.632421016693115,-6.113590717315674,-6.186074256896973,-6.90160608291626,-6.698854446411133,-11.48249053955078,-11.579729181475344,1.2186422492983835,6.144096374511719,-11.262050151824951,-11.471063613891602,-11.927369117736816,-11.65475082397461,0.3156084418296814,0.3275624665275084,0.1179918456964636,0.707443043589592,0.2842932343482971,0.3142509162425995,0.3195043504238128,0.3403202593326568,-5.016628742218018,-5.098574899994167,1.4451182369260522,8.518656015396118,-5.462805509567261,-5.027235984802246,-4.959420204162598,-4.681121826171875,"2022,2023,2024,2025",113
SV_S1:crown_0018,SV_S1,s1_master_format.geojson,17,crown_0018,18,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.1761145780393,28.53220095412797,1,0,1,0,-1,0,0,buffer,0.1386249959468841,0.1556250005960464,0.1442999988794326,0.1755749955773353,0.2747249901294708,0.3023749887943268,0.3219000101089477,0.3201999962329864,0.2372250035405159,0.1725250035524368,0.352734625339508,0.3270394057035446,0.2589285373687744,0.14997299015522,0.2981719672679901,0.3438635915517807,0.3094553351402282,0.3551215231418609,0.3346172273159027,0.6905446648597717,20.0,20,0.1159749999642372,0.1489999964833259,0.1416749954223632,0.1884999945759773,0.2992749959230423,0.3235999941825866,0.3151499927043915,0.3402000069618225,0.262700006365776,0.1907999962568283,0.4074836075305938,0.3787384033203125,0.3052021265029907,0.0970055684447288,0.2527432069182396,0.3676372766494751,0.3005137592554092,0.3664498329162597,0.3375534117221832,0.6994861960411072,20.0,20,0.1501749977469444,0.1727500036358833,0.1534750014543533,0.2131000012159347,0.3666499853134155,0.4163749814033508,0.4024000167846679,0.4365749955177307,0.279349997639656,0.1877250000834465,0.4408807158470154,0.3933162093162536,0.3536678999662399,0.1807231977581977,0.3613653928041458,0.5070212036371231,0.3142551481723785,0.3631311804056167,0.3212127089500427,0.6857449114322662,20.0,20,0.1283999942243099,0.1494750007987022,0.1347749978303909,0.1749500036239624,0.3154249936342239,0.3489499986171722,0.3820250034332275,0.3684249967336654,0.2499250024557113,0.1686000004410743,0.4619414657354355,0.4199509918689728,0.3418705761432647,0.2139072865247726,0.3899069130420685,0.497239351272583,0.310219943523407,0.3627678453922272,0.3260254561901092,0.6897800266742706,20.0,20,0.1092068403959274,0.0929115861654281,0.0947393625974655,0.1169017180800437,0.1371637061238289,0.1631576120853424,0.0113283097743988,0.0163407027721405,0.0137412846088409,2025,20.0,16,0.1413749977946281,0.1578250005841255,0.1417249962687492,0.1777749955654144,0.2939999997615814,0.3235250115394592,0.3329499959945678,0.3369249999523163,0.2389499992132187,0.1682500019669532,0.4019491076469421,0.3560653924942016,0.3071499317884445,0.1667763441801071,0.3321399986743927,0.424931600689888,0.3192305266857147,0.3594979643821716,0.3217799514532089,0.6807694733142853,20.0,20,0.1373249962925911,0.1599500030279159,0.1467500030994415,0.2029499933123588,0.3373750150203705,0.3777749836444855,0.3737000226974487,0.394349992275238,0.2858750075101852,0.2054749950766563,0.4286035001277923,0.3941874504089355,0.3205111473798752,0.1328919976949691,0.2863466590642929,0.4517121911048889,0.3071188628673553,0.3596480190753937,0.3294643759727478,0.6928810775279999,20.0,20,0.1393000036478042,0.1775750070810318,0.1549499928951263,0.2257250025868415,0.3672000169754028,0.4033749997615814,0.3910500109195709,0.4211000055074692,0.2914250046014786,0.2089499980211258,0.4352317452430725,0.3732053488492965,0.2985627800226211,0.1447967141866684,0.3033671975135803,0.4611990749835968,0.2949029803276062,0.3759947270154953,0.328422337770462,0.7050970494747162,10.0,20,0.1232500001788139,0.1474749967455864,0.1330500021576881,0.1775249987840652,0.3033750057220459,0.3344999998807907,0.357699990272522,0.3536500036716461,0.2530750036239624,0.1756250038743019,0.4337997138500213,0.3966403305530548,0.3360865712165832,0.1731173992156982,0.3398657888174057,0.4504490792751312,0.3041166365146637,0.3636548668146133,0.3303580582141876,0.6958834230899811,20.0,20,0.0332826375961303,0.0405749380588531,0.0375237911939621,0.040225401520729,0.0535191297531127,0.0362674742937088,0.0164967626333236,0.0085781067609786,0.0243275761604309,2024,20.0,16,113,4,-5.796022415161133,-5.744112012660609,1.1084810727923096,5.538788318634033,-5.331849813461304,-5.759839057922363,-5.638947486877441,-6.534634590148926,-11.02894401550293,-11.05829553688522,1.0658017938362443,5.378777503967285,-11.027570247650146,-11.040602684020996,-10.978449821472168,-11.233701705932615,0.2986693978309631,0.308908425073708,0.1081269604302233,0.6114416271448135,0.2672456353902817,0.3071774244308471,0.3019298315048218,0.3092328608036041,-5.248988628387451,-5.3631860387008805,1.5059720864600337,7.644979000091553,-5.732882738113403,-5.126243591308594,-5.20127010345459,-5.09715747833252,"2022,2023,2024,2025",113
SV_S1:crown_0020,SV_S1,s1_master_format.geojson,19,crown_0020,20,Teak,Teak,clean,Non-Acacia,Full canopy,completed,,77.17622832991658,28.53217658123608,2,1,0,0,0,0,0,buffer,0.1402000039815902,0.1577250063419342,0.1468000039458274,0.1769250035285949,0.2763999998569488,0.3050999939441681,0.3294499963521957,0.3223500102758407,0.2380249947309494,0.173349991440773,0.3727187365293503,0.3490132987499237,0.2596571892499923,0.1547760963439941,0.307976633310318,0.3583535850048065,0.3087508827447891,0.3552603870630264,0.3359350562095642,0.6912491023540497,20.0,20,0.1159500032663345,0.1495749950408935,0.1431000009179115,0.1903000026941299,0.3084249794483185,0.335999995470047,0.3210500180721283,0.351174995303154,0.2630749940872192,0.1904250085353851,0.4102441668510437,0.3891067951917648,0.3122636973857879,0.098478365689516,0.2548867911100387,0.3721736967563629,0.3003877401351928,0.3643202185630798,0.3397483229637146,0.6996122598648071,20.0,20,0.1516750007867813,0.1754500046372413,0.1546749919652938,0.2147500067949295,0.3661249876022339,0.4152750074863434,0.4302999973297119,0.4351500123739242,0.2800500094890594,0.188400000333786,0.4650700986385345,0.4129903316497803,0.3505080342292785,0.2074248492717743,0.3848754465579986,0.5563388168811798,0.3136126399040222,0.3650625795125961,0.3198172450065613,0.6863874197006226,20.0,20,0.1291999965906143,0.1511249989271164,0.1362999975681305,0.1753000020980835,0.3167750090360641,0.3504749834537506,0.3905499875545501,0.3689499944448471,0.2502250075340271,0.1690250039100647,0.476029098033905,0.43571338057518,0.3412225842475891,0.2192422226071357,0.3965330123901367,0.5176269561052322,0.3086763620376587,0.3635830283164978,0.3249899595975876,0.6913236081600189,20.0,20,0.1033103615045547,0.0867000818252563,0.0908508449792862,0.1207638569176197,0.1416462212800979,0.1979852318763733,0.0098021924495697,0.0199310779571533,0.0132248401641845,2025,20.0,16,0.1408500000834465,0.1587500050663948,0.1416249945759773,0.1785000041127205,0.2955749928951263,0.3265749961137771,0.3536999970674515,0.3398250043392181,0.2411249876022339,0.1709500029683113,0.430205762386322,0.3743599057197571,0.3086142241954803,0.18079424649477,0.3436911553144455,0.462931364774704,0.3189354836940765,0.3602271974086761,0.3211618959903717,0.6810645461082458,20.0,20,0.1387500017881393,0.1652000024914741,0.1520249992609024,0.2040500044822693,0.3436000049114227,0.3856000006198883,0.3684500157833099,0.4000999927520752,0.2908749878406524,0.2078000009059906,0.4090966284275055,0.3808441311120987,0.323748767375946,0.1249801106750965,0.2801491022109985,0.4270789474248886,0.3044583201408386,0.3590533286333084,0.3324035406112671,0.6955417096614838,20.0,20,0.1424999982118606,0.1823499947786331,0.1600750088691711,0.2269999980926513,0.3720250129699707,0.4072500020265579,0.3880999982357025,0.422775000333786,0.2976250052452087,0.2102750092744827,0.4196711778640747,0.3648098707199096,0.2998173981904983,0.1366137638688087,0.295501247048378,0.4497479498386383,0.292326807975769,0.3751754760742187,0.3304756432771683,0.7076732218265533,10.0,20,0.123549997806549,0.1507749930024147,0.1349499970674514,0.1777999922633171,0.3035250008106231,0.3346250057220459,0.3645749986171722,0.3540000021457672,0.253774993121624,0.1757500022649765,0.449064165353775,0.4153908342123031,0.3367814421653747,0.1766605526208877,0.3466924279928207,0.4561084806919098,0.3023587763309479,0.3640539497137069,0.3310724347829819,0.6976412534713745,20.0,20,0.0399675369262695,0.0505809634923934,0.0369640439748764,0.0558141358196735,0.0665433257818222,0.0358524173498153,0.0161221474409103,0.0112416446208953,0.0266086757183074,2024,20.0,16,113,4,-5.99083137512207,-5.919296321615708,1.0454026346937202,4.8224382400512695,-5.618914365768433,-6.119046211242676,-5.785037040710449,-6.456045627593994,-11.558218002319336,-11.512485343798073,0.9247761751828342,4.279809951782227,-11.709509372711182,-11.744648933410645,-11.078380584716797,-11.781816482543944,0.2791584730148315,0.2958362298992882,0.0991129875191456,0.5170944482088089,0.2554807960987091,0.2874395549297333,0.2986693978309631,0.2764583826065063,-5.542396068572998,-5.530764765444055,1.430519069243098,7.046724796295166,-5.941473245620728,-5.415452003479004,-5.248988628387451,-5.59600830078125,"2022,2023,2024,2025",113
