feature,importance
postmonsoon_EVI,0.07273998092217818
postmonsoon_NDVI,0.07186319260678707
postmonsoon_green_ratio,0.06900571148112442
postmonsoon_GNDVI,0.058261887806951095
monsoon_red_ratio,0.056118048734968104
winter_green_ratio,0.04915663805255592
winter_GNDVI,0.03796608951818484
postmonsoon_NDRE,0.035706695078491356
winter_NDVI,0.03488370488026992
monsoon_EVI,0.028951360478271803
winter_EVI,0.027866055290764396
premonsoon_B2,0.027231313695354083
postmonsoon_B8A,0.021717432420549857
premonsoon_B3,0.021626401964246558
postmonsoon_B2,0.020911740376501856
monsoon_NBR,0.020311339419301865
monsoon_B4,0.01791770950688935
winter_B4,0.017601564679949153
postmonsoon_red_ratio,0.015753172287722286
premonsoon_B4,0.014818863235792122
postmonsoon_B4,0.014740383966615658
NDRE_amp,0.013933099124196605
postmonsoon_B7,0.012657150647161006
winter_B2,0.010309236805400804
NDVI_amp,0.010214972340768139
EVI_amp,0.009971165609209413
premonsoon_B11,0.00985805673609286
postmonsoon_B8,0.009462783117606273
monsoon_NDVI,0.009260687655596069
monsoon_NDRE,0.0069550895581972855
postmonsoon_B3,0.0066803246299637934
green_ratio_amp,0.0058286457298905876
winter_blue_ratio,0.00548884992258799
premonsoon_B5,0.005393506217350243
premonsoon_yellow_proxy,0.005042200513991931
premonsoon_blue_ratio,0.004842585273683044
monsoon_GNDVI,0.004625254875360415
GNDVI_amp,0.004575711941568571
postmonsoon_NBR,0.004513251608494354
monsoon_green_ratio,0.004504881694411239
postmonsoon_B6,0.004280067842526656
winter_yellow_proxy,0.004163206744534235
monsoon_B7,0.00404348233365624
monsoon_B8,0.0037947957848832197
winter_red_ratio,0.003793801025411725
monsoon_B5,0.0037382221235784173
premonsoon_GNDVI,0.003449849341361092
yellow_proxy_amp,0.0032458729122858514
winter_B8A,0.003103547578865022
premonsoon_NDRE,0.0030691518390203293
monsoon_B6,0.002987304437795938
premonsoon_B7,0.002986684751273959
winter_B12,0.002950440294371698
monsoon_B8A,0.0029074973960150213
winter_NBR,0.0027446437281882655
premonsoon_B8A,0.002687187500768454
premonsoon_B12,0.0026865470369776103
postmonsoon_yellow_proxy,0.0026338711679920355
postmonsoon_blue_ratio,0.002628785159585729
winter_B11,0.0025705179709758
monsoon_B12,0.0025527666851569413
red_ratio_amp,0.002543951842578527
monsoon_NDMI,0.0025330551906480084
monsoon_blue_ratio,0.0024930645359882765
monsoon_yellow_proxy,0.0024432125634615094
NBR_amp,0.002409766331133089
winter_NDRE,0.002387562681798275
winter_B6,0.002339280908414071
postmonsoon_NDMI,0.0023242995047590325
premonsoon_B6,0.00228979324597044
premonsoon_red_ratio,0.0022447219108786085
winter_B5,0.002199465485447402
NDMI_amp,0.0019001787900746235
premonsoon_NDMI,0.0018366908041397897
winter_NDMI,0.0018211602854604568
winter_B7,0.0018174925216841611
winter_B8,0.0016874586698249453
monsoon_B11,0.0016670376266304148
monsoon_B2,0.0016591434339017583
premonsoon_EVI,0.001593163037843277
premonsoon_NDVI,0.0015902192764028532
premonsoon_NBR,0.0015820135195717987
postmonsoon_B5,0.0015230577644749883
winter_B3,0.001423177620254929
premonsoon_green_ratio,0.0013804908269565096
monsoon_B3,0.0013699121304656238
postmonsoon_B12,0.001078017650092759
postmonsoon_B11,0.0009362764608465716
premonsoon_B8,0.0009129827505502372
monsoon_valid_pixels_median,0.00036156428618848137
premonsoon_valid_pixels_median,0.0002717944665923431
postmonsoon_valid_pixels_median,0.00026744740448382304
winter_valid_pixels_max,0.0002401120761801028
winter_valid_pixels_median,0.00017673174783010883
monsoon_valid_pixels_max,0.0001648772592604893
premonsoon_valid_pixels_max,0.00012420725595235915
postmonsoon_valid_pixels_max,0.00012163407303470125
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
