feature,importance
postmonsoon_EVI,0.075678741755966
postmonsoon_NDVI,0.06719941974378443
monsoon_red_ratio,0.0634801658138024
postmonsoon_green_ratio,0.061319991249729894
postmonsoon_GNDVI,0.04989678894716604
premonsoon_B2,0.048099341967451484
winter_green_ratio,0.04563800496195183
winter_GNDVI,0.039123764514297554
winter_EVI,0.03771957246416253
premonsoon_B3,0.033414495029953965
winter_NDVI,0.02988919580580678
monsoon_EVI,0.029593739863348466
premonsoon_B4,0.024939360069012224
postmonsoon_NDRE,0.024515430953620812
monsoon_B4,0.02270298707109707
monsoon_NBR,0.02145973284876913
postmonsoon_red_ratio,0.017744331560075544
postmonsoon_B2,0.01649519103638358
postmonsoon_B4,0.015449443352544594
winter_B2,0.015081986604372955
monsoon_NDVI,0.014426624495174572
winter_B4,0.011753734160391582
postmonsoon_B8,0.011331827561250162
NDRE_amp,0.00930057571807709
postmonsoon_B7,0.009061085649431063
EVI_amp,0.008675944300376623
postmonsoon_B8A,0.008031335017632433
premonsoon_red_ratio,0.007818270204439868
NDVI_amp,0.00704887172590804
postmonsoon_NBR,0.006745749473118424
monsoon_NDRE,0.005647651092199822
monsoon_green_ratio,0.005402695309022145
monsoon_B6,0.005294236073001069
premonsoon_yellow_proxy,0.005044173550801339
premonsoon_B11,0.0049512377364601175
postmonsoon_B3,0.00487989376265724
winter_blue_ratio,0.004638510503886728
premonsoon_NDRE,0.004548050479737939
premonsoon_GNDVI,0.004526415505437685
monsoon_NDMI,0.0042897018232308515
premonsoon_blue_ratio,0.003952024394799093
monsoon_B8A,0.0039135028823122945
monsoon_GNDVI,0.003856139361123983
winter_yellow_proxy,0.0038456560672477523
monsoon_B12,0.0036414250421212416
monsoon_B7,0.0034371316517766296
premonsoon_NDVI,0.0034160926080334052
monsoon_blue_ratio,0.0033334999561586785
yellow_proxy_amp,0.0032791207581910117
premonsoon_B12,0.0032528926260530135
GNDVI_amp,0.0032341833883632533
winter_NBR,0.003227630485957415
monsoon_B8,0.0031980994605880775
green_ratio_amp,0.003166902941996217
premonsoon_B8A,0.0030357468534155346
winter_NDRE,0.0030063266523824472
monsoon_yellow_proxy,0.002998636128174169
premonsoon_B7,0.0028372007442313625
monsoon_B5,0.0027957070417645364
winter_B11,0.0027401141991947498
premonsoon_B5,0.002654392919365575
postmonsoon_B6,0.0023776174615394207
winter_red_ratio,0.002321161067180811
winter_B8,0.002196900164247933
premonsoon_NDMI,0.002160630737698585
premonsoon_NBR,0.002048413354734299
monsoon_B3,0.0019778556108725203
NBR_amp,0.0019493266412230598
premonsoon_B6,0.0018680975144715099
premonsoon_EVI,0.001820297990936914
winter_B5,0.001795378763065865
winter_B3,0.0017927165125253232
postmonsoon_yellow_proxy,0.001792605871326098
premonsoon_green_ratio,0.0017590693722297711
postmonsoon_NDMI,0.0016767551114623082
NDMI_amp,0.0016516924453888028
red_ratio_amp,0.0016407452029055189
monsoon_B2,0.001639927120453408
postmonsoon_blue_ratio,0.0015290958670378348
winter_B7,0.0015254790777486115
winter_B12,0.001494763446854242
winter_NDMI,0.001424462222950966
postmonsoon_B5,0.0012686085745898688
monsoon_B11,0.0012094629041034845
winter_B8A,0.001201116481197953
postmonsoon_B12,0.0011469352841367965
winter_B6,0.0010594180654561447
postmonsoon_B11,0.0010476751551897789
premonsoon_B8,0.0008282456847986363
premonsoon_valid_pixels_max,0.000399014883266331
winter_valid_pixels_median,0.0003971592553382703
postmonsoon_valid_pixels_median,0.00027914049752116764
premonsoon_valid_pixels_median,0.00027316672175608516
monsoon_valid_pixels_max,0.00020865490338986596
monsoon_valid_pixels_median,0.0002049502101986579
winter_valid_pixels_max,0.00017856280100105008
postmonsoon_valid_pixels_max,0.00017420110241957542
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
