feature,importance
postmonsoon_EVI,0.02714151228965123
postmonsoon_green_ratio,0.02081786690828263
postmonsoon_NDVI,0.020327913903534344
postmonsoon_GNDVI,0.018889562102475967
NDRE_amp,0.018117860813767355
postmonsoon_B8,0.018008612314115123
monsoon_B8,0.017727505357213697
premonsoon_red_ratio,0.015323793258262565
postmonsoon_B8A,0.015098632737929501
winter_GNDVI,0.01494965303954659
EVI_amp,0.014841026030037422
NDVI_amp,0.014266775398612966
premonsoon_NDMI,0.013994911873677632
monsoon_B4,0.01395655848308126
monsoon_yellow_proxy,0.013647520523093625
postmonsoon_B7,0.01337210182586891
winter_blue_ratio,0.01314810956193452
winter_NDMI,0.013103486547043526
postmonsoon_NDRE,0.012674558444647458
postmonsoon_B6,0.012387284726789623
monsoon_B3,0.0122273670638186
winter_B8,0.012201330491388671
premonsoon_B11,0.012174728046905746
NBR_amp,0.012130945310801644
monsoon_blue_ratio,0.012059842701150182
monsoon_red_ratio,0.01205195025328127
monsoon_B2,0.012051529276757102
winter_NBR,0.011932174548237
winter_EVI,0.01188157960188851
postmonsoon_blue_ratio,0.011690368375736537
postmonsoon_yellow_proxy,0.011593884478477444
postmonsoon_NBR,0.011564998657951022
premonsoon_B8,0.01149671254433122
winter_yellow_proxy,0.011406760280265453
postmonsoon_NDMI,0.011386456452026015
winter_B5,0.011143510475396422
monsoon_B6,0.011124632038838246
red_ratio_amp,0.01108247679010779
GNDVI_amp,0.010950904304698519
winter_B2,0.010945529613066303
postmonsoon_red_ratio,0.01084642975743314
premonsoon_NBR,0.010729634452303372
premonsoon_B8A,0.010376452459913739
winter_B3,0.010222283307951802
premonsoon_blue_ratio,0.010198453813684295
yellow_proxy_amp,0.009869287424173782
NDMI_amp,0.009853066838499208
premonsoon_NDVI,0.009841020629765147
premonsoon_yellow_proxy,0.00977156360923183
postmonsoon_B2,0.009752632559451935
winter_B8A,0.009728849803854144
winter_B11,0.009670100659894473
winter_B6,0.009631598829898265
winter_NDRE,0.00949913732312331
monsoon_B8A,0.009439079183720686
monsoon_B12,0.009436196656428109
premonsoon_B6,0.009432863675300485
monsoon_NDVI,0.00935642622851402
premonsoon_B5,0.009224860641268878
postmonsoon_B11,0.00879205916839037
monsoon_EVI,0.008742616376087212
premonsoon_B4,0.00865392264451888
monsoon_NDRE,0.008606542136630558
monsoon_B11,0.008486137257700196
premonsoon_B12,0.008311696731275598
premonsoon_GNDVI,0.00825486503677744
green_ratio_amp,0.008251155579798563
premonsoon_B7,0.008229112508396749
winter_green_ratio,0.008201166795142533
winter_B12,0.008122092265585001
monsoon_NDMI,0.008077058023854304
winter_NDVI,0.008065806622966553
winter_red_ratio,0.007958824202264717
winter_B7,0.007952210768726469
premonsoon_EVI,0.007782941072104028
monsoon_B7,0.007752527968879205
premonsoon_B3,0.007712580496672864
postmonsoon_B12,0.007704393688706985
monsoon_NBR,0.00769585067426391
winter_B4,0.007602849210554714
postmonsoon_B4,0.007477139810217799
monsoon_B5,0.007306501324968843
premonsoon_green_ratio,0.0068917061373705395
postmonsoon_B3,0.006807226978976253
postmonsoon_B5,0.006792334802193842
premonsoon_B2,0.006771608739549014
monsoon_green_ratio,0.006485920864253296
premonsoon_NDRE,0.006418206434930445
monsoon_GNDVI,0.005890134952890186
monsoon_valid_pixels_median,0.0037416025391734916
winter_valid_pixels_median,0.003702150982126432
winter_valid_pixels_max,0.0035384412315622696
postmonsoon_valid_pixels_median,0.0032693740255422743
premonsoon_valid_pixels_max,0.0032275412583575263
premonsoon_valid_pixels_median,0.0031505828925040935
postmonsoon_valid_pixels_max,0.003030839938355501
monsoon_valid_pixels_max,0.00276941255863108
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
