feature,importance
winter_blue_ratio,0.02787278626437092
winter_yellow_proxy,0.02468317969134902
postmonsoon_EVI,0.023320198206351207
NDRE_amp,0.023250294293729847
postmonsoon_B8,0.0218245269199069
postmonsoon_green_ratio,0.019242419526509052
NBR_amp,0.018333934427245634
postmonsoon_blue_ratio,0.017914945094421816
winter_B8,0.01616742898873464
premonsoon_green_ratio,0.01417417734838306
monsoon_B8,0.013783612559160318
postmonsoon_NDVI,0.013570837285549054
monsoon_yellow_proxy,0.013300061306659379
monsoon_B4,0.013237656394743521
monsoon_B3,0.013014196944040584
premonsoon_B8,0.012762573714309305
NDVI_amp,0.012544817728819165
winter_NDRE,0.01250455263031466
winter_GNDVI,0.01247737410372533
postmonsoon_yellow_proxy,0.012353117199245046
postmonsoon_GNDVI,0.0123200846032375
GNDVI_amp,0.012176172476508085
yellow_proxy_amp,0.012147624251946267
premonsoon_B8A,0.01184444071018441
monsoon_B5,0.011473267125935103
NDMI_amp,0.011429227797323777
premonsoon_red_ratio,0.01132519935103329
monsoon_blue_ratio,0.011260139873581557
postmonsoon_B8A,0.01125463280763325
winter_EVI,0.01119197459369013
EVI_amp,0.011011305303166751
premonsoon_blue_ratio,0.010920484028524812
monsoon_B2,0.010771919140185299
postmonsoon_NBR,0.010754070012676895
premonsoon_B5,0.010382426049758826
premonsoon_B7,0.01036747700467986
monsoon_B8A,0.010214416181837351
premonsoon_B3,0.01015621958009695
premonsoon_yellow_proxy,0.010113498659925035
monsoon_NDMI,0.010092223198622772
monsoon_B6,0.010079270656209359
winter_green_ratio,0.010060327609423764
postmonsoon_B7,0.01005221175027871
monsoon_NDRE,0.009825938432028067
postmonsoon_B3,0.009743214983028632
premonsoon_B4,0.009603479255835769
premonsoon_GNDVI,0.009590081209401349
postmonsoon_NDRE,0.00958453226439588
premonsoon_B6,0.009546338813775427
monsoon_EVI,0.009516516673779767
postmonsoon_B6,0.009461460855319891
red_ratio_amp,0.009372272982497602
winter_B5,0.009350040922321447
premonsoon_EVI,0.00932383122494922
postmonsoon_NDMI,0.009239702098877266
green_ratio_amp,0.009212963877324096
premonsoon_NBR,0.00911608121222141
monsoon_red_ratio,0.009105866242884222
monsoon_NDVI,0.009082727006296478
postmonsoon_B12,0.008998517823939203
winter_NDVI,0.008689579615113956
winter_B12,0.008674806104692878
monsoon_NBR,0.00866652306267895
winter_B6,0.008600664345421593
postmonsoon_B5,0.008573401974873463
winter_NDMI,0.008488988382955595
postmonsoon_red_ratio,0.008247066664250855
monsoon_B7,0.00821525436484193
premonsoon_B11,0.008202021349340798
premonsoon_B12,0.008166195320513504
postmonsoon_B2,0.007999886676321379
monsoon_green_ratio,0.007991162616053702
premonsoon_B2,0.007980588721193674
premonsoon_NDVI,0.00791419088661832
winter_B3,0.007831290782722041
winter_red_ratio,0.007716557499131506
postmonsoon_B4,0.007657612130443777
premonsoon_NDMI,0.007624730423512727
winter_B4,0.0076167551923256
postmonsoon_B11,0.007563003842387418
monsoon_B12,0.007543040288811709
premonsoon_NDRE,0.007526799157614967
winter_B7,0.007419769162714804
winter_B2,0.007388994675945372
winter_B8A,0.0072558102042180736
monsoon_GNDVI,0.007067007860671845
winter_B11,0.006846964863373737
winter_NBR,0.006611681450812343
monsoon_B11,0.0056319506250428536
premonsoon_valid_pixels_median,0.004278244795748036
monsoon_valid_pixels_max,0.0037082380227055367
winter_valid_pixels_max,0.003671147454893501
monsoon_valid_pixels_median,0.003203637543724062
postmonsoon_valid_pixels_max,0.003132463790409579
winter_valid_pixels_median,0.0030172820953556444
premonsoon_valid_pixels_max,0.003010173114888387
postmonsoon_valid_pixels_median,0.0028616456647718716
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
