feature,importance
postmonsoon_EVI,0.07523915536054698
postmonsoon_GNDVI,0.07333896532537211
postmonsoon_NDVI,0.057838684531671535
EVI_amp,0.05560614984709607
postmonsoon_green_ratio,0.054022247920840524
postmonsoon_NDRE,0.054017489974726364
monsoon_EVI,0.0429368941880079
postmonsoon_B8A,0.039320542906548336
postmonsoon_red_ratio,0.03351303018325111
monsoon_B4,0.026786810261387618
postmonsoon_B7,0.025077835290340862
winter_GNDVI,0.023786291385297805
winter_EVI,0.023377677567191026
winter_B2,0.023205718850584055
postmonsoon_B8,0.021870474790913207
winter_NDVI,0.021363246467640134
winter_green_ratio,0.02085785819535889
postmonsoon_B6,0.019345161389035734
monsoon_B8A,0.019253650576251915
monsoon_red_ratio,0.016614298347032406
monsoon_NDVI,0.016124292084693
NDVI_amp,0.013299611614886473
postmonsoon_B2,0.013120732565926033
postmonsoon_NBR,0.01161591548893802
postmonsoon_B4,0.009967974594677423
winter_blue_ratio,0.008449413471003359
monsoon_B7,0.007875324340878424
premonsoon_GNDVI,0.007545338186554129
NDRE_amp,0.007116446272289144
monsoon_B5,0.007040731086568535
GNDVI_amp,0.006834517817418401
monsoon_green_ratio,0.00682113097540166
monsoon_NDRE,0.006634340871333919
NBR_amp,0.005961017053435794
winter_B4,0.005946075643568316
monsoon_B6,0.005730176634094734
premonsoon_NDRE,0.005054781246965371
winter_yellow_proxy,0.005011873970497943
monsoon_GNDVI,0.004701297187561035
premonsoon_B7,0.004383980181316417
premonsoon_B8A,0.004191674254720238
winter_B8,0.00415377689186958
premonsoon_B6,0.0040627308597123
monsoon_B2,0.004035711393023952
monsoon_B8,0.0037512367381226154
premonsoon_B2,0.0037012727312454893
postmonsoon_yellow_proxy,0.003635294079336287
red_ratio_amp,0.003557808529473439
winter_red_ratio,0.0034932982134277045
postmonsoon_NDMI,0.003435221338990751
NDMI_amp,0.0033406881514154666
monsoon_B3,0.0033198045616611685
monsoon_NBR,0.0032108465632281077
premonsoon_B3,0.0031697323783092864
yellow_proxy_amp,0.003034687204278973
postmonsoon_blue_ratio,0.0029818366365952547
winter_B3,0.002812085463494612
monsoon_NDMI,0.0027591409630870816
green_ratio_amp,0.0027259274934314562
postmonsoon_B3,0.0026445137443311855
premonsoon_B5,0.0026326299736730793
postmonsoon_B11,0.0025621114472424273
premonsoon_blue_ratio,0.002444609352366602
winter_B12,0.0023633341219104187
premonsoon_EVI,0.0023389191361563484
winter_B5,0.0022860386625065425
premonsoon_NDMI,0.001993804059481837
winter_B7,0.001987274448195949
premonsoon_B12,0.0019400704760848405
premonsoon_yellow_proxy,0.001803019842500015
premonsoon_B8,0.0017200259059331746
winter_NDRE,0.0016372626900745463
winter_B11,0.0015618870535898956
monsoon_blue_ratio,0.0015122217269434041
winter_B8A,0.0014650876897566929
winter_NBR,0.0013531038885307542
postmonsoon_B5,0.0013362958687438567
postmonsoon_B12,0.0012581104987346354
monsoon_yellow_proxy,0.001201701423769311
premonsoon_NDVI,0.0011309738273080651
premonsoon_B11,0.0010737033892264988
winter_NDMI,0.0010411986046014302
winter_B6,0.0010318898608894583
monsoon_B12,0.0009092048846361526
premonsoon_green_ratio,0.0008682156868968916
premonsoon_red_ratio,0.0006764078778500076
premonsoon_B4,0.0005898030753333734
premonsoon_NBR,0.0005837573533233867
monsoon_B11,0.0005518031806918237
winter_valid_pixels_max,0.00034865789282481483
winter_valid_pixels_median,0.00022632843045823615
premonsoon_valid_pixels_max,0.00021483162629312307
monsoon_valid_pixels_max,0.0001953533757785438
postmonsoon_valid_pixels_max,0.0001530339763691079
postmonsoon_valid_pixels_median,0.00015053929212586355
monsoon_valid_pixels_median,0.00013041250416380315
premonsoon_valid_pixels_median,0.00010193405817736716
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
