season,id,datetime,cloud_cover,mgrs_tile,epsg
winter,S2A_MSIL2A_20231205T053211_R105_T43RGM_20231205T101118,2023-12-05T05:32:11.024000+00:00,0.000182,,32643
winter,S2A_MSIL2A_20231205T053211_R105_T43RGM_20241101T070534,2023-12-05T05:32:11.024000+00:00,0.000186,,32643
winter,S2B_MSIL2A_20231210T053219_R105_T43RGM_20241101T190133,2023-12-10T05:32:19.024000+00:00,0.000232,,32643
winter,S2B_MSIL2A_20231210T053219_R105_T43RGM_20231210T091507,2023-12-10T05:32:19.024000+00:00,0.000242,,32643
premonsoon,S2B_MSIL2A_20240518T052649_R105_T43RGM_20240518T091102,2024-05-18T05:26:49.024000+00:00,3e-06,,32643
premonsoon,S2B_MSIL2A_20240408T052649_R105_T43RGM_20240408T091553,2024-04-08T05:26:49.024000+00:00,0.000335,,32643
premonsoon,S2B_MSIL2A_20240528T052649_R105_T43RGM_20240528T135227,2024-05-28T05:26:49.024000+00:00,0.000541,,32643
premonsoon,S2B_MSIL2A_20240508T052649_R105_T43RGM_20240508T092240,2024-05-08T05:26:49.024000+00:00,0.000766,,32643
monsoon,S2A_MSIL2A_20240612T052651_R105_T43RGM_20240612T101635,2024-06-12T05:26:51.024000+00:00,0.372583,,32643
monsoon,S2B_MSIL2A_20240617T052649_R105_T43RGM_20240617T092021,2024-06-17T05:26:49.024000+00:00,6.855886,,32643
monsoon,S2B_MSIL2A_20240607T052649_R105_T43RGM_20240607T093931,2024-06-07T05:26:49.024000+00:00,14.642407,,32643
monsoon,S2B_MSIL2A_20240607T052649_R105_T43RGM_20240607T080007,2024-06-07T05:26:49.024000+00:00,14.751408,,32643
postmonsoon,S2A_MSIL2A_20241030T052941_R105_T43RGM_20241030T093050,2024-10-30T05:29:41.024000+00:00,2.3e-05,,32643
postmonsoon,S2A_MSIL2A_20241129T053201_R105_T43RGM_20241129T085053,2024-11-29T05:32:01.025000+00:00,0.000146,,32643
postmonsoon,S2B_MSIL2A_20241124T053049_R105_T43RGM_20241124T075059,2024-11-24T05:30:49.024000+00:00,0.000342,,32643
postmonsoon,S2A_MSIL2A_20241010T052731_R105_T43RGM_20241010T094259,2024-10-10T05:27:31.024000+00:00,0.000385,,32643
