season,id,datetime,cloud_cover,mgrs_tile,epsg
winter,S2B_MSIL2A_20230203T053029_R105_T43RGM_20230203T231344,2023-02-03T05:30:29.024000+00:00,0.000199,,32643
winter,S2B_MSIL2A_20230203T053029_R105_T43RGM_20240815T095844,2023-02-03T05:30:29.024000+00:00,0.000212,,32643
winter,S2B_MSIL2A_20221205T053209_R105_T43RGM_20221205T172448,2022-12-05T05:32:09.024000+00:00,0.000219,,32643
winter,S2A_MSIL2A_20221210T053221_R105_T43RGM_20221210T221244,2022-12-10T05:32:21.024000+00:00,0.000265,,32643
premonsoon,S2A_MSIL2A_20230310T052641_R105_T43RGM_20230310T113043,2023-03-10T05:26:41.024000+00:00,0.000262,,32643
premonsoon,S2A_MSIL2A_20230310T052641_R105_T43RGM_20240824T200443,2023-03-10T05:26:41.024000+00:00,0.000262,,32643
premonsoon,S2A_MSIL2A_20230409T052651_R105_T43RGM_20230409T112927,2023-04-09T05:26:51.024000+00:00,0.000392,,32643
premonsoon,S2A_MSIL2A_20230409T052651_R105_T43RGM_20240825T033503,2023-04-09T05:26:51.024000+00:00,0.000395,,32643
monsoon,S2A_MSIL2A_20230608T052651_R105_T43RGM_20240911T042714,2023-06-08T05:26:51.024000+00:00,0.000206,,32643
monsoon,S2A_MSIL2A_20230608T052651_R105_T43RGM_20230608T131514,2023-06-08T05:26:51.024000+00:00,0.000209,,32643
monsoon,S2B_MSIL2A_20230613T052649_R105_T43RGM_20230613T104535,2023-06-13T05:26:49.024000+00:00,0.039661,,32643
monsoon,S2B_MSIL2A_20230613T052649_R105_T43RGM_20241003T060130,2023-06-13T05:26:49.024000+00:00,0.040425,,32643
postmonsoon,S2A_MSIL2A_20231006T052701_R105_T43RGM_20231006T111751,2023-10-06T05:27:01.024000+00:00,6.6e-05,,32643
postmonsoon,S2B_MSIL2A_20231021T052849_R105_T43RGM_20241102T205555,2023-10-21T05:28:49.024000+00:00,0.000219,,32643
postmonsoon,S2B_MSIL2A_20231021T052849_R105_T43RGM_20231021T092920,2023-10-21T05:28:49.024000+00:00,0.000222,,32643
postmonsoon,S2B_MSIL2A_20231011T052739_R105_T43RGM_20241101T153954,2023-10-11T05:27:39.024000+00:00,0.000345,,32643
