date,id,datetime,year,month,season,orbit_state,relative_orbit,platform
2023-01-05,S1A_IW_GRDH_1SDV_20230105T125516_20230105T125545_046649_059763_rtc,2023-01-05T12:55:31.220616+00:00,2023,1,winter,ascending,27,SENTINEL-1A
2023-01-17,S1A_IW_GRDH_1SDV_20230117T125515_20230117T125544_046824_059D4D_rtc,2023-01-17T12:55:30.384177+00:00,2023,1,winter,ascending,27,SENTINEL-1A
2023-01-29,S1A_IW_GRDH_1SDV_20230129T125516_20230129T125545_046999_05A335_rtc,2023-01-29T12:55:30.611843+00:00,2023,1,winter,ascending,27,SENTINEL-1A
2023-02-10,S1A_IW_GRDH_1SDV_20230210T125515_20230210T125544_047174_05A903_rtc,2023-02-10T12:55:29.812247+00:00,2023,2,winter,ascending,27,SENTINEL-1A
2023-02-22,S1A_IW_GRDH_1SDV_20230222T125514_20230222T125543_047349_05AEFD_rtc,2023-02-22T12:55:29.263623+00:00,2023,2,winter,ascending,27,SENTINEL-1A
2023-03-06,S1A_IW_GRDH_1SDV_20230306T125515_20230306T125544_047524_05B4E7_rtc,2023-03-06T12:55:29.737838+00:00,2023,3,premonsoon,ascending,27,SENTINEL-1A
2023-03-18,S1A_IW_GRDH_1SDV_20230318T125515_20230318T125544_047699_05BAD5_rtc,2023-03-18T12:55:29.681607+00:00,2023,3,premonsoon,ascending,27,SENTINEL-1A
2023-03-30,S1A_IW_GRDH_1SDV_20230330T125515_20230330T125544_047874_05C0AC_rtc,2023-03-30T12:55:30.008824+00:00,2023,3,premonsoon,ascending,27,SENTINEL-1A
2023-04-11,S1A_IW_GRDH_1SDV_20230411T125516_20230411T125545_048049_05C6A2_rtc,2023-04-11T12:55:30.618500+00:00,2023,4,premonsoon,ascending,27,SENTINEL-1A
2023-04-23,S1A_IW_GRDH_1SDV_20230423T125516_20230423T125545_048224_05CC78_rtc,2023-04-23T12:55:30.830142+00:00,2023,4,premonsoon,ascending,27,SENTINEL-1A
2023-05-05,S1A_IW_GRDH_1SDV_20230505T125516_20230505T125545_048399_05D258_rtc,2023-05-05T12:55:31.478609+00:00,2023,5,premonsoon,ascending,27,SENTINEL-1A
2023-05-17,S1A_IW_GRDH_1SDV_20230517T125517_20230517T125546_048574_05D7AA_rtc,2023-05-17T12:55:32.182394+00:00,2023,5,premonsoon,ascending,27,SENTINEL-1A
2023-05-29,S1A_IW_GRDH_1SDV_20230529T125518_20230529T125547_048749_05DCDD_rtc,2023-05-29T12:55:32.801116+00:00,2023,5,premonsoon,ascending,27,SENTINEL-1A
2023-06-10,S1A_IW_GRDH_1SDV_20230610T125518_20230610T125547_048924_05E228_rtc,2023-06-10T12:55:33.160599+00:00,2023,6,monsoon,ascending,27,SENTINEL-1A
2023-06-22,S1A_IW_GRDH_1SDV_20230622T125519_20230622T125548_049099_05E777_rtc,2023-06-22T12:55:33.682141+00:00,2023,6,monsoon,ascending,27,SENTINEL-1A
2023-07-16,S1A_IW_GRDH_1SDV_20230716T125521_20230716T125550_049449_05F23F_rtc,2023-07-16T12:55:35.620884+00:00,2023,7,monsoon,ascending,27,SENTINEL-1A
2023-07-28,S1A_IW_GRDH_1SDV_20230728T125521_20230728T125550_049624_05F79E_rtc,2023-07-28T12:55:36.177054+00:00,2023,7,monsoon,ascending,27,SENTINEL-1A
2023-08-09,S1A_IW_GRDH_1SDV_20230809T125521_20230809T125550_049799_05FD28_rtc,2023-08-09T12:55:36.088867+00:00,2023,8,monsoon,ascending,27,SENTINEL-1A
2023-08-21,S1A_IW_GRDH_1SDV_20230821T125522_20230821T125551_049974_060323_rtc,2023-08-21T12:55:37.260471+00:00,2023,8,monsoon,ascending,27,SENTINEL-1A
2023-09-02,S1A_IW_GRDH_1SDV_20230902T125523_20230902T125552_050149_060927_rtc,2023-09-02T12:55:38.270469+00:00,2023,9,monsoon,ascending,27,SENTINEL-1A
2023-09-14,S1A_IW_GRDH_1SDV_20230914T125524_20230914T125553_050324_060F12_rtc,2023-09-14T12:55:38.569291+00:00,2023,9,monsoon,ascending,27,SENTINEL-1A
2023-09-26,S1A_IW_GRDH_1SDV_20230926T125524_20230926T125553_050499_061511_rtc,2023-09-26T12:55:39.053500+00:00,2023,9,monsoon,ascending,27,SENTINEL-1A
2023-10-08,S1A_IW_GRDH_1SDV_20231008T125524_20231008T125553_050674_061B12_rtc,2023-10-08T12:55:39.014550+00:00,2023,10,postmonsoon,ascending,27,SENTINEL-1A
2023-10-20,S1A_IW_GRDH_1SDV_20231020T125524_20231020T125553_050849_062107_rtc,2023-10-20T12:55:39.197064+00:00,2023,10,postmonsoon,ascending,27,SENTINEL-1A
2023-11-01,S1A_IW_GRDH_1SDV_20231101T125523_20231101T125553_051024_06270A_rtc,2023-11-01T12:55:38.499780+00:00,2023,11,postmonsoon,ascending,27,SENTINEL-1A
2023-11-13,S1A_IW_GRDH_1SDV_20231113T125524_20231113T125553_051199_062D0F_rtc,2023-11-13T12:55:38.621606+00:00,2023,11,postmonsoon,ascending,27,SENTINEL-1A
2023-11-25,S1A_IW_GRDH_1SDV_20231125T125523_20231125T125552_051374_063317_rtc,2023-11-25T12:55:37.798720+00:00,2023,11,postmonsoon,ascending,27,SENTINEL-1A
2023-12-07,S1A_IW_GRDH_1SDV_20231207T125523_20231207T125552_051549_063918_rtc,2023-12-07T12:55:37.661176+00:00,2023,12,winter,ascending,27,SENTINEL-1A
2023-12-19,S1A_IW_GRDH_1SDV_20231219T125522_20231219T125551_051724_063F3C_rtc,2023-12-19T12:55:36.795329+00:00,2023,12,winter,ascending,27,SENTINEL-1A
2024-01-12,S1A_IW_GRDH_1SDV_20240112T125521_20240112T125550_052074_064B35_rtc,2024-01-12T12:55:35.678871+00:00,2024,1,winter,ascending,27,SENTINEL-1A
2024-01-24,S1A_IW_GRDH_1SDV_20240124T125520_20240124T125549_052249_065114_rtc,2024-01-24T12:55:35.309020+00:00,2024,1,winter,ascending,27,SENTINEL-1A
2024-02-29,S1A_IW_GRDH_1SDV_20240229T125520_20240229T125549_052774_0662E9_rtc,2024-02-29T12:55:34.788347+00:00,2024,2,winter,ascending,27,SENTINEL-1A
2024-03-12,S1A_IW_GRDH_1SDV_20240312T125520_20240312T125549_052949_0668DE_rtc,2024-03-12T12:55:34.864599+00:00,2024,3,premonsoon,ascending,27,SENTINEL-1A
2024-03-24,S1A_IW_GRDH_1SDV_20240324T125520_20240324T125549_053124_066F69_rtc,2024-03-24T12:55:35.145682+00:00,2024,3,premonsoon,ascending,27,SENTINEL-1A
