feature,importance
postmonsoon_EVI,0.0790951930366027
postmonsoon_NDVI,0.0765496006971004
postmonsoon_green_ratio,0.06901611059036342
postmonsoon_red_ratio,0.06108583454745223
postmonsoon_GNDVI,0.06056232022709381
monsoon_B4,0.052929817981916316
winter_EVI,0.04009686714172573
postmonsoon_NDRE,0.03814245242402191
monsoon_EVI,0.03521599701885069
winter_GNDVI,0.032446890163541256
winter_green_ratio,0.031122512516621084
winter_NDVI,0.03095516668639675
monsoon_NDVI,0.02678042225455117
monsoon_red_ratio,0.024936604271482126
winter_B2,0.021717925357940336
postmonsoon_B8A,0.016239295677112103
NDRE_amp,0.014777769487741814
premonsoon_B2,0.013685360306771905
postmonsoon_B8,0.012903655433256396
postmonsoon_B7,0.012615076058706423
monsoon_B5,0.011508042474441331
monsoon_B3,0.011396946280895224
winter_B4,0.010891491072996246
monsoon_NDRE,0.008949742135356188
NDVI_amp,0.008488914747172416
postmonsoon_B4,0.008287195291663808
postmonsoon_B2,0.007494005430291845
EVI_amp,0.00666467958301863
premonsoon_B3,0.006475351535227667
monsoon_B8,0.006339660067821108
postmonsoon_NBR,0.005787570300796239
postmonsoon_NDMI,0.00560315818094816
monsoon_GNDVI,0.005587307723585245
GNDVI_amp,0.005476651710887814
premonsoon_GNDVI,0.005153901567827127
monsoon_B2,0.005064470076569696
premonsoon_NDRE,0.0049370315633102315
winter_B8,0.0043768641555196105
winter_NDRE,0.0043112310125057625
postmonsoon_B6,0.004309761968184181
monsoon_B8A,0.004202133790783903
postmonsoon_B3,0.0040583607844021565
monsoon_B12,0.004010225368308624
premonsoon_EVI,0.0039287826716227535
winter_yellow_proxy,0.003898562061725894
monsoon_NBR,0.0037143433861227845
premonsoon_B7,0.003423895272009431
premonsoon_B5,0.0033032321881533346
NBR_amp,0.0031901356896310443
premonsoon_yellow_proxy,0.00313480542469783
monsoon_B6,0.0031275352684878056
red_ratio_amp,0.003004455668933441
monsoon_blue_ratio,0.0029641381241630373
winter_B5,0.0027776570392083737
premonsoon_B8A,0.0027506307283635123
postmonsoon_B5,0.002680413395706186
winter_B11,0.0025780881509065304
premonsoon_B4,0.0025776305609657665
winter_blue_ratio,0.0025699596960747353
premonsoon_blue_ratio,0.0024128504862752217
winter_B8A,0.002384396719282723
premonsoon_B6,0.002367713033633952
yellow_proxy_amp,0.0023127018302120965
winter_B12,0.0022214011744963943
monsoon_green_ratio,0.002100527956290759
winter_NBR,0.0018958229746101993
postmonsoon_yellow_proxy,0.001871912816798598
postmonsoon_B12,0.0018326600481510364
monsoon_yellow_proxy,0.0018283382304254611
green_ratio_amp,0.0018021200769231965
winter_B6,0.001784747626753509
monsoon_B7,0.001767005329555586
postmonsoon_blue_ratio,0.0017515799607145791
premonsoon_red_ratio,0.0015738625525405705
winter_B3,0.0015364220406700849
NDMI_amp,0.0015351685105469103
premonsoon_green_ratio,0.0015134830626883275
monsoon_NDMI,0.0015097716313062126
monsoon_B11,0.0013974060166469296
premonsoon_B8,0.0013480148026334107
winter_NDMI,0.0013213818207865595
winter_B7,0.0012614436687058334
premonsoon_NDVI,0.001168802345310875
premonsoon_B11,0.001164344128833715
premonsoon_B12,0.0010749813314542807
winter_red_ratio,0.000936711717275016
postmonsoon_B11,0.0009002213288260211
premonsoon_NBR,0.000698668507668635
premonsoon_NDMI,0.000651266582159762
winter_valid_pixels_max,0.000539754685524712
premonsoon_valid_pixels_max,0.0004154194690071202
monsoon_valid_pixels_max,0.000300989304026657
monsoon_valid_pixels_median,0.000272026429684784
winter_valid_pixels_median,0.00019012289387486983
postmonsoon_valid_pixels_max,0.00018979661261261138
postmonsoon_valid_pixels_median,0.00017965119601771816
premonsoon_valid_pixels_median,0.00011267706854081345
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
