feature,importance
premonsoon_B2,0.08150977135605339
monsoon_red_ratio,0.07101340462635192
postmonsoon_EVI,0.06065529259266276
postmonsoon_NDVI,0.05867973135861393
postmonsoon_green_ratio,0.056408678946493394
postmonsoon_GNDVI,0.055030285194487986
premonsoon_B3,0.04888428706246325
winter_green_ratio,0.04152493626755044
premonsoon_B4,0.03778167374641619
winter_GNDVI,0.030859357405909595
monsoon_B4,0.030842088066689696
postmonsoon_red_ratio,0.02939912136348951
winter_NDVI,0.02819440909044919
winter_EVI,0.026780576723131954
postmonsoon_NDRE,0.02566799583679258
monsoon_NBR,0.02368005915602736
monsoon_EVI,0.023663228425478234
postmonsoon_B2,0.013690845394048596
winter_B2,0.010933686639909204
premonsoon_red_ratio,0.01004783117632194
postmonsoon_B8A,0.009943361966174687
NDRE_amp,0.009888322740596192
postmonsoon_B4,0.00900019917286861
postmonsoon_B7,0.008305921258327792
winter_B4,0.007624607962878837
monsoon_NDVI,0.0073450757385446885
premonsoon_GNDVI,0.007251915620522565
postmonsoon_B8,0.007029612165424621
postmonsoon_B6,0.006838388814760824
premonsoon_NDVI,0.006649475418184893
monsoon_NDRE,0.005755408984811415
premonsoon_NDRE,0.005127290171370849
monsoon_GNDVI,0.004923630367546516
monsoon_B8A,0.004851574916691145
monsoon_yellow_proxy,0.004794820931545202
NDVI_amp,0.004589565185082875
premonsoon_B11,0.004462706814429925
monsoon_B6,0.0043609614654812655
premonsoon_yellow_proxy,0.0042784492985842885
postmonsoon_B3,0.004127767301812567
monsoon_blue_ratio,0.004046909776013807
premonsoon_blue_ratio,0.003960571553814806
monsoon_green_ratio,0.003939327301838097
premonsoon_EVI,0.0037370108762376903
premonsoon_green_ratio,0.0036250694604255344
winter_B8A,0.0036183714520691716
EVI_amp,0.003497798400122368
winter_blue_ratio,0.0034228216199667185
winter_NDRE,0.0031022160009095815
postmonsoon_NBR,0.003059389453931341
premonsoon_B8A,0.0030329515287608375
premonsoon_B7,0.0030314821281068748
winter_B11,0.003030242450625303
winter_yellow_proxy,0.002775475148470018
monsoon_B5,0.0027250733731669337
winter_B5,0.0026183793427168047
green_ratio_amp,0.002564793459472713
monsoon_B7,0.0025215548644721125
monsoon_B8,0.002477395267641021
GNDVI_amp,0.0024623577320026517
premonsoon_B5,0.0024242810150512215
premonsoon_NDMI,0.0023732280010250713
postmonsoon_blue_ratio,0.002151844274768109
red_ratio_amp,0.002101767591537729
premonsoon_B6,0.0020471000564817932
monsoon_B2,0.00183297072714493
winter_B12,0.0017897737876948257
NBR_amp,0.0017702735119348193
winter_B7,0.001740113863987489
monsoon_NDMI,0.001692784162611705
winter_B6,0.0016321133803618884
yellow_proxy_amp,0.0016189308555433393
monsoon_B11,0.0014619438255191047
winter_NBR,0.001410933212203307
winter_B3,0.0013892837163989441
winter_red_ratio,0.0013595296204087885
postmonsoon_B5,0.0012964699211690115
monsoon_B12,0.0012939046873718292
premonsoon_NBR,0.0012915566780790126
postmonsoon_NDMI,0.0012597014469731694
postmonsoon_yellow_proxy,0.0012120957043891965
premonsoon_B12,0.001199059241149399
winter_B8,0.0011091640324624359
premonsoon_B8,0.0011019272149742536
monsoon_B3,0.0010197954561096398
postmonsoon_B12,0.0009730563212784457
postmonsoon_B11,0.00095467934698012
winter_NDMI,0.0006725446869183759
NDMI_amp,0.0005454637092178001
winter_valid_pixels_max,0.0002925087675082716
premonsoon_valid_pixels_median,0.00027131349162846414
winter_valid_pixels_median,0.00022968819888007314
monsoon_valid_pixels_max,0.00020174886239610396
premonsoon_valid_pixels_max,0.0001967003744445292
postmonsoon_valid_pixels_max,0.000186930072492348
postmonsoon_valid_pixels_median,0.00014550801950881134
monsoon_valid_pixels_median,0.00010380424765052316
stac_year,0.0
buffer_meters,0.0
stac_item_count,0.0
