regime,split,holdout,seed,model,n_train,n_test,crown_bal_acc,crown_f1,crown_cm,pixel_bal_acc,pixel_f1,pixel_cm
baseline,random,n/a,42,rf_balanced,253,109,0.867,0.7692,"[[85, 5], [4, 15]]",0.8421,0.8125,"[[90, 0], [6, 13]]"
baseline,random,n/a,42,extra_trees,253,109,0.9404,0.8372,"[[84, 6], [1, 18]]",0.8781,0.8108,"[[87, 3], [4, 15]]"
augmented,random,n/a,42,rf_balanced,2324,109,0.8421,0.8125,"[[90, 0], [6, 13]]",0.5526,0.1905,"[[90, 0], [17, 2]]"
augmented,random,n/a,42,extra_trees,2324,109,0.9363,0.8947,"[[88, 2], [2, 17]]",0.8365,0.7879,"[[89, 1], [6, 13]]"
baseline,leave_area_out,SV_S1,42,rf_balanced,325,37,0.6384,0.5806,"[[15, 6], [7, 9]]",0.6012,0.381,"[[20, 1], [12, 4]]"
baseline,leave_area_out,SV_S1,42,extra_trees,325,37,0.5982,0.5714,"[[12, 9], [6, 10]]",0.6235,0.5185,"[[17, 4], [9, 7]]"
augmented,leave_area_out,SV_S1,42,rf_balanced,2396,37,0.5938,0.3158,"[[21, 0], [13, 3]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,42,extra_trees,2396,37,0.625,0.4,"[[21, 0], [12, 4]]",0.5312,0.1176,"[[21, 0], [15, 1]]"
baseline,leave_area_out,SV_S2,42,rf_balanced,344,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.3333,0.0,"[[6, 3], [9, 0]]"
baseline,leave_area_out,SV_S2,42,extra_trees,344,18,0.6667,0.6667,"[[6, 3], [3, 6]]",0.6111,0.5882,"[[6, 3], [4, 5]]"
augmented,leave_area_out,SV_S2,42,rf_balanced,2415,18,0.5,0.0,"[[9, 0], [9, 0]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,42,extra_trees,2415,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.4444,0.1667,"[[7, 2], [8, 1]]"
baseline,leave_area_out,SV_S4,42,rf_balanced,334,28,0.8,0.75,"[[8, 0], [8, 12]]",0.525,0.0952,"[[8, 0], [19, 1]]"
baseline,leave_area_out,SV_S4,42,extra_trees,334,28,0.775,0.8421,"[[6, 2], [4, 16]]",0.75,0.6667,"[[8, 0], [10, 10]]"
augmented,leave_area_out,SV_S4,42,rf_balanced,2405,28,0.825,0.7879,"[[8, 0], [7, 13]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,42,extra_trees,2405,28,0.9,0.8889,"[[8, 0], [4, 16]]",0.825,0.7879,"[[8, 0], [7, 13]]"
