model,label,split,holdout,min_crown_area_m2,pixels_per_crown,n_train_crowns,n_train_pixels,n_test_crowns,train_label_counts,test_label_counts,balanced_accuracy,macro_f1,confusion_matrix,classes
rf_balanced,label_yellow_strict,random,,20.0,8,213,1704,92,"{0: 1512, 1: 192}","{0: 81, 1: 11}",0.487654,0.461988,"[[79, 2], [11, 0]]","[0, 1]"
extra_trees,label_yellow_strict,random,,20.0,8,213,1704,92,"{0: 1512, 1: 192}","{0: 81, 1: 11}",0.481481,0.458824,"[[78, 3], [11, 0]]","[0, 1]"
hist_gradient,label_yellow_strict,random,,20.0,8,213,1704,92,"{0: 1512, 1: 192}","{0: 81, 1: 11}",0.578563,0.600789,"[[79, 2], [9, 2]]","[0, 1]"
logistic_l2,label_yellow_strict,random,,20.0,8,213,1704,92,"{0: 1512, 1: 192}","{0: 81, 1: 11}",0.535354,0.535354,"[[72, 9], [9, 2]]","[0, 1]"
svc_rbf,label_yellow_strict,random,,20.0,8,213,1704,92,"{0: 1512, 1: 192}","{0: 81, 1: 11}",0.502245,0.501116,"[[74, 7], [10, 1]]","[0, 1]"
