model,label,split,holdout,min_crown_area_m2,pixels_per_crown,n_train_crowns,n_train_pixels,n_test_crowns,train_label_counts,test_label_counts,balanced_accuracy,macro_f1,confusion_matrix,classes
rf_balanced,label_deciduous,random,,20.0,8,205,1640,89,"{0: 1064, 1: 576}","{0: 58, 1: 31}",0.654616,0.657741,"[[46, 12], [15, 16]]","[0, 1]"
extra_trees,label_deciduous,random,,20.0,8,205,1640,89,"{0: 1064, 1: 576}","{0: 58, 1: 31}",0.638487,0.641954,"[[46, 12], [16, 15]]","[0, 1]"
hist_gradient,label_deciduous,random,,20.0,8,205,1640,89,"{0: 1064, 1: 576}","{0: 58, 1: 31}",0.645996,0.648023,"[[45, 13], [15, 16]]","[0, 1]"
logistic_l2,label_deciduous,random,,20.0,8,205,1640,89,"{0: 1064, 1: 576}","{0: 58, 1: 31}",0.677141,0.672839,"[[43, 15], [12, 19]]","[0, 1]"
svc_rbf,label_deciduous,random,,20.0,8,205,1640,89,"{0: 1064, 1: 576}","{0: 58, 1: 31}",0.727753,0.727753,"[[47, 11], [11, 20]]","[0, 1]"
