model,label,split,holdout,min_crown_area_m2,pixels_per_crown,n_train_crowns,n_train_pixels,n_test_crowns,train_label_counts,test_label_counts,balanced_accuracy,macro_f1,confusion_matrix,classes
rf_balanced,label_esd,random,,20.0,8,205,1640,89,"{0: 328, 1: 736, 2: 576}","{0: 18, 1: 40, 2: 31}",0.52724,0.528749,"[[6, 4, 8], [5, 28, 7], [4, 10, 17]]","[0, 1, 2]"
extra_trees,label_esd,random,,20.0,8,205,1640,89,"{0: 328, 1: 736, 2: 576}","{0: 18, 1: 40, 2: 31}",0.56135,0.560462,"[[7, 4, 7], [6, 26, 8], [4, 7, 20]]","[0, 1, 2]"
hist_gradient,label_esd,random,,20.0,8,205,1640,89,"{0: 328, 1: 736, 2: 576}","{0: 18, 1: 40, 2: 31}",0.546326,0.5473,"[[6, 5, 7], [6, 29, 5], [4, 9, 18]]","[0, 1, 2]"
logistic_l2,label_esd,random,,20.0,8,205,1640,89,"{0: 328, 1: 736, 2: 576}","{0: 18, 1: 40, 2: 31}",0.510783,0.499931,"[[8, 3, 7], [9, 19, 12], [6, 6, 19]]","[0, 1, 2]"
svc_rbf,label_esd,random,,20.0,8,205,1640,89,"{0: 328, 1: 736, 2: 576}","{0: 18, 1: 40, 2: 31}",0.522611,0.519189,"[[8, 4, 6], [7, 23, 10], [5, 9, 17]]","[0, 1, 2]"
