experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,rf_leaf3,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.696969696969697,0.6966911764705883,0.6966911764705883,"[[11, 5], [5, 12]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,extra_leaf3,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7272727272727273,0.7261029411764706,0.7262672811059907,"[[11, 5], [4, 13]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,logistic_c0.1,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6777777777777778,0.6726867887184562,0.6709116126591854,"[[24, 19], [10, 37]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,logistic_c0.5,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6555555555555556,0.6523998020781792,0.6520763187429854,"[[25, 18], [13, 34]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,svc_linearish,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6111111111111112,0.6088570014844137,0.6087442553720034,"[[24, 19], [16, 31]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,svc_rbf_c0.5,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6111111111111112,0.6048985650667986,0.6,"[[20, 23], [12, 35]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,rf_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7,0.6929737753587333,0.6889002688516195,"[[23, 20], [7, 40]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,extra_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7111111111111111,0.7055912914398812,0.7039473684210527,"[[25, 18], [8, 39]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.1,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.5841584158415841,0.5048036758563074,0.4811643835616438,"[[52, 11], [31, 7]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.5,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6435643564356436,0.552422723475355,0.521578947368421,"[[58, 5], [31, 7]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_linearish,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6732673267326733,0.581453634085213,0.555422168867547,"[[60, 3], [30, 8]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_rbf_c0.5,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.5148514851485149,0.5223475355054302,0.5100485100485102,"[[31, 32], [17, 21]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,rf_leaf3,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.504950495049505,0.5352965747702589,0.5049019607843137,"[[26, 37], [13, 25]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,extra_leaf3,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.46534653465346537,0.49832915622389307,0.46529411764705886,"[[23, 40], [14, 24]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.1,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6288659793814433,0.6193520886615516,0.6106155218554861,"[[20, 26], [10, 41]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.5,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6185567010309279,0.6138107416879796,0.6126281705342688,"[[24, 22], [15, 36]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,svc_linearish,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6082474226804123,0.605072463768116,0.6048456260720412,"[[25, 21], [17, 34]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,svc_rbf_c0.5,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.5979381443298969,0.5803495311167945,0.5337113274990755,"[[11, 35], [4, 47]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,rf_leaf3,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6185567010309279,0.6042199488491049,0.5782113056763427,"[[15, 31], [6, 45]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,extra_leaf3,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.5979381443298969,0.5803495311167945,0.5337113274990755,"[[11, 35], [4, 47]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,logistic_c0.1,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5652173913043478,0.5531578947368421,0.5295454545454545,"[[10, 9], [21, 29]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,logistic_c0.5,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.6086956521739131,0.5342105263157895,0.5315564495851144,"[[7, 12], [15, 35]]"
