stem,date,status_in_lhc_pipeline_fixed,layer,count,error
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p2,326,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p25,248,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p3,205,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p35,185,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p4,159,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p45,143,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p5,123,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p55,105,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p6,97,
odm_orthophoto_9_12_25,2025-12-09,excluded,conf_0p65,81,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p15,535,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p2,353,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p25,268,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p3,227,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p35,191,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p4,172,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p45,157,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p5,144,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p55,132,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p6,119,
odm_orthophoto11_1_26,2026-01-11,included,conf_0p65,99,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p15,545,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p2,339,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p25,260,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p3,226,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p35,199,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p4,176,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p45,152,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p5,123,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p55,109,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p6,99,
odm_orthophoto4_02_26,2026-02-04,included,conf_0p65,90,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p15,497,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p2,311,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p25,249,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p3,203,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p35,172,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p4,159,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p45,148,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p5,135,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p55,116,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p6,104,
odm_orthophoto20_02_26,2026-02-20,included,conf_0p65,90,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p15,475,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p2,317,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p25,252,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p3,206,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p35,171,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p4,153,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p45,134,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p5,118,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p55,107,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p6,102,
odm_orthophoto7_03_26,2026-03-07,included,conf_0p65,86,
