threshold,accuracy,balanced_accuracy,macro_f1,positive_recall,positive_precision,confusion_matrix,fold
0.8,0.9295774647887324,0.7918032786885245,0.8329411764705883,0.6,0.8571428571428571,"[[60, 1], [4, 6]]",4
0.85,0.9014084507042254,0.6918032786885246,0.7391076115485564,0.4,0.8,"[[60, 1], [6, 4]]",4
0.9,0.8591549295774648,0.5418032786885246,0.5448717948717949,0.1,0.5,"[[60, 1], [9, 1]]",4
0.1,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.15,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.2,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.25,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.3,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.35,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.4,0.9142857142857143,0.9034608378870674,0.8382126348228043,0.8888888888888888,0.6153846153846154,"[[56, 5], [1, 8]]",5
0.45,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.5,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.55,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.6,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.65,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.7,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.75,0.9428571428571428,0.9198542805100182,0.8833333333333333,0.8888888888888888,0.7272727272727273,"[[58, 3], [1, 8]]",5
0.8,0.9714285714285714,0.936247723132969,0.936247723132969,0.8888888888888888,0.8888888888888888,"[[60, 1], [1, 8]]",5
0.85,0.9428571428571428,0.825136612021858,0.8588709677419355,0.6666666666666666,0.8571428571428571,"[[60, 1], [3, 6]]",5
0.9,0.9428571428571428,0.7777777777777778,0.8412698412698413,0.5555555555555556,1.0,"[[61, 0], [4, 5]]",5
